grant_id,enterprise_id,grantee_id,tier,valid_from,valid_until,consent_id,reason
GR00050,ENT0028,FO2,2,2025-08-04,2025-08-18,CN0028,field_visit_preparation
GR00051,ENT0107,FO1,2,2025-02-04,2025-02-18,CN0107,field_visit_preparation
GR00052,ENT0086,FO1,2,2024-04-03,2024-04-17,CN0086,field_visit_preparation
GR00053,ENT0203,FO6,2,2026-02-03,2026-02-17,CN0203,field_visit_preparation
GR00054,ENT0109,FO1,2,2026-05-02,2026-05-16,CN0109,field_visit_preparation
GR00055,ENT0138,FO2,2,2025-07-01,2025-07-15,CN0138,field_visit_preparation
GR00056,ENT0037,FO2,2,2025-01-03,2025-01-17,CN0037,field_visit_preparation
GR00057,ENT0205,FO1,2,2024-04-01,2024-04-15,CN0205,field_visit_preparation
GR00058,ENT0121,FO1,2,2026-06-04,2026-06-18,CN0121,field_visit_preparation
GR00059,ENT0087,FO1,2,2026-05-03,2026-05-17,CN0087,field_visit_preparation
GR00060,ENT0104,FO3,2,2024-05-04,2024-05-18,CN0104,field_visit_preparation
GR00061,ENT0182,FO2,2,2025-05-03,2025-05-17,CN0182,field_visit_preparation
GR00062,ENT0186,FO1,2,2024-07-04,2024-07-18,CN0186,field_visit_preparation
GR00063,ENT0163,FO2,2,2026-03-03,2026-03-17,CN0163,field_visit_preparation
GR00064,ENT0190,FO4,2,2024-08-03,2024-08-17,CN0190,field_visit_preparation
GR00065,ENT0168,FO4,2,2024-06-04,2024-06-18,CN0168,field_visit_preparation
GR00066,ENT0241,FO6,2,2025-09-01,2025-09-15,CN0241,field_visit_preparation
GR00067,ENT0236,FO4,2,2025-02-02,2025-02-16,CN0236,field_visit_preparation
GR00068,ENT0138,FO2,2,2024-02-03,2024-02-17,CN0138,field_visit_preparation
GR00069,ENT0134,FO5,2,2024-04-02,2024-04-16,CN0134,field_visit_preparation
GR00070,ENT0128,FO1,2,2026-07-04,2026-07-18,CN0128,field_visit_preparation
GR00071,ENT0006,FO3,2,2025-01-04,2025-01-18,CN0006,field_visit_preparation
GR00072,ENT0034,FO6,2,2024-04-03,2024-04-17,CN0034,field_visit_preparation
GR00073,ENT0172,FO6,2,2026-02-01,2026-02-15,CN0172,field_visit_preparation
GR00074,ENT0033,FO6,2,2025-11-03,2025-11-17,CN0033,field_visit_preparation
GR00075,ENT0140,FO6,2,2025-02-04,2025-02-18,CN0140,field_visit_preparation
GR00076,ENT0121,FO1,2,2024-06-03,2024-06-17,CN0121,field_visit_preparation
GR00077,ENT0239,FO4,2,2026-05-02,2026-05-16,CN0239,field_visit_preparation
GR00078,ENT0189,FO4,2,2026-07-04,2026-07-18,CN0189,field_visit_preparation
GR00079,ENT0013,FO5,2,2023-12-02,2023-12-16,CN0013,field_visit_preparation
GR00080,ENT0099,FO4,2,2024-07-03,2024-07-17,CN0099,field_visit_preparation
GR00081,ENT0227,FO5,2,2026-05-04,2026-05-18,CN0227,field_visit_preparation
GR00082,ENT0199,FO1,2,2025-05-03,2025-05-17,CN0199,field_visit_preparation
GR00083,ENT0199,FO1,2,2024-03-03,2024-03-17,CN0199,field_visit_preparation
GR00084,ENT0181,FO6,2,2023-12-03,2023-12-17,CN0181,field_visit_preparation
GR00085,ENT0034,FO6,2,2025-06-02,2025-06-16,CN0034,field_visit_preparation
GR00086,ENT0083,FO1,2,2024-06-03,2024-06-17,CN0083,field_visit_preparation
GR00087,ENT0199,FO1,2,2026-06-04,2026-06-18,CN0199,field_visit_preparation
GR00088,ENT0203,FO6,2,2026-07-03,2026-07-17,CN0203,field_visit_preparation
GR00089,ENT0085,FO6,2,2026-07-02,2026-07-16,CN0085,field_visit_preparation
GR00090,ENT0119,FO4,2,2026-07-01,2026-07-15,CN0119,field_visit_preparation
GR00091,ENT0104,FO3,2,2024-07-02,2024-07-16,CN0104,field_visit_preparation
GR00092,ENT0144,FO1,2,2024-09-03,2024-09-17,CN0144,field_visit_preparation
GR00093,ENT0091,FO4,2,2025-08-01,2025-08-15,CN0091,field_visit_preparation
GR00094,ENT0040,FO5,2,2024-02-04,2024-02-18,CN0040,field_visit_preparation
GR00095,ENT0113,FO1,2,2024-12-04,2024-12-18,CN0113,field_visit_preparation
GR00096,ENT0073,FO3,2,2025-05-04,2025-05-18,CN0073,field_visit_preparation
GR00097,ENT0128,FO1,2,2026-05-02,2026-05-16,CN0128,field_visit_preparation
GR00098,ENT0067,FO2,2,2024-08-04,2024-08-18,CN0067,field_visit_preparation
GR00099,ENT0199,FO1,2,2025-03-01,2025-03-15,CN0199,field_visit_preparation
GR00100,ENT0112,FO4,2,2024-09-01,2024-09-15,CN0112,field_visit_preparation
GR00101,ENT0133,FO2,2,2024-03-04,2024-03-18,CN0133,field_visit_preparation
GR00102,ENT0196,FO5,2,2024-03-04,2024-03-18,CN0196,field_visit_preparation
GR00103,ENT0004,FO3,2,2026-05-01,2026-05-15,CN0004,field_visit_preparation
GR00104,ENT0160,FO5,2,2024-02-01,2024-02-15,CN0160,field_visit_preparation
GR00105,ENT0117,FO6,2,2023-12-03,2023-12-17,CN0117,field_visit_preparation
GR00106,ENT0138,FO2,2,2025-02-03,2025-02-17,CN0138,field_visit_preparation
GR00107,ENT0189,FO4,2,2025-07-03,2025-07-17,CN0189,field_visit_preparation
GR00108,ENT0223,FO6,2,2025-11-02,2025-11-16,CN0223,field_visit_preparation
GR00109,ENT0100,FO5,2,2024-06-04,2024-06-18,CN0100,field_visit_preparation
GR00110,ENT0140,FO6,2,2024-10-02,2024-10-16,CN0140,field_visit_preparation
GR00111,ENT0115,FO4,2,2024-07-01,2024-07-15,CN0115,field_visit_preparation
GR00112,ENT0161,FO5,2,2025-12-02,2025-12-16,CN0161,field_visit_preparation
GR00113,ENT0120,FO3,2,2024-03-03,2024-03-17,CN0120,field_visit_preparation
GR00114,ENT0080,FO3,2,2024-06-04,2024-06-18,CN0080,field_visit_preparation
GR00115,ENT0133,FO2,2,2026-03-01,2026-03-15,CN0133,field_visit_preparation
GR00116,ENT0074,FO3,2,2023-12-03,2023-12-17,CN0074,field_visit_preparation
GR00117,ENT0130,FO3,2,2025-05-03,2025-05-17,CN0130,field_visit_preparation
GR00118,ENT0140,FO6,2,2025-11-01,2025-11-15,CN0140,field_visit_preparation
GR00119,ENT0056,FO1,2,2024-09-03,2024-09-17,CN0056,field_visit_preparation
GR00120,ENT0040,FO5,2,2024-04-04,2024-04-18,CN0040,field_visit_preparation
GR00121,ENT0139,FO3,2,2024-09-02,2024-09-16,CN0139,field_visit_preparation
GR00122,ENT0152,FO4,2,2023-12-01,2023-12-15,CN0152,field_visit_preparation
GR00123,ENT0198,FO1,2,2024-07-03,2024-07-17,CN0198,field_visit_preparation
GR00124,ENT0251,FO1,2,2026-05-01,2026-05-15,CN0251,field_visit_preparation
GR00125,ENT0137,FO2,2,2024-06-01,2024-06-15,CN0137,field_visit_preparation
GR00126,ENT0244,FO3,2,2024-06-04,2024-06-18,CN0244,field_visit_preparation
GR00127,ENT0215,FO1,2,2024-09-04,2024-09-18,CN0215,field_visit_preparation
GR00128,ENT0188,FO5,2,2026-06-03,2026-06-17,CN0188,field_visit_preparation
GR00129,ENT0111,FO5,2,2024-02-04,2024-02-18,CN0111,field_visit_preparation
GR00130,ENT0104,FO3,2,2026-03-03,2026-03-17,CN0104,field_visit_preparation
GR00131,ENT0062,FO5,2,2026-07-02,2026-07-16,CN0062,field_visit_preparation
GR00132,ENT0133,FO2,2,2025-12-03,2025-12-17,CN0133,field_visit_preparation
GR00133,ENT0144,FO1,2,2024-03-04,2024-03-18,CN0144,field_visit_preparation
GR00134,ENT0076,FO5,2,2024-04-02,2024-04-16,CN0076,field_visit_preparation
GR00135,ENT0060,FO4,2,2026-07-04,2026-07-18,CN0060,field_visit_preparation
GR00136,ENT0244,FO3,2,2024-10-02,2024-10-16,CN0244,field_visit_preparation
GR00137,ENT0067,FO2,2,2024-12-04,2024-12-18,CN0067,field_visit_preparation
GR00138,ENT0190,FO4,2,2024-06-01,2024-06-15,CN0190,field_visit_preparation
GR00139,ENT0115,FO4,2,2025-06-01,2025-06-15,CN0115,field_visit_preparation
GR00140,ENT0035,FO4,2,2026-05-01,2026-05-15,CN0035,field_visit_preparation
GR00141,ENT0236,FO4,2,2025-05-03,2025-05-17,CN0236,field_visit_preparation
GR00142,ENT0111,FO5,2,2025-08-02,2025-08-16,CN0111,field_visit_preparation
GR00143,ENT0208,FO2,2,2025-10-01,2025-10-15,CN0208,field_visit_preparation
GR00144,ENT0107,FO1,2,2026-07-02,2026-07-16,CN0107,field_visit_preparation
GR00145,ENT0075,FO6,2,2025-05-04,2025-05-18,CN0075,field_visit_preparation
GR00146,ENT0048,FO4,2,2024-02-02,2024-02-16,CN0048,field_visit_preparation
GR00147,ENT0113,FO1,2,2025-05-03,2025-05-17,CN0113,field_visit_preparation
GR00148,ENT0059,FO3,2,2025-05-01,2025-05-15,CN0059,field_visit_preparation
GR00149,ENT0164,FO2,2,2026-05-04,2026-05-18,CN0164,field_visit_preparation
GR00150,ENT0192,FO4,2,2026-04-01,2026-04-15,CN0192,field_visit_preparation
GR00151,ENT0195,FO3,2,2025-05-01,2025-05-15,CN0195,field_visit_preparation
GR00152,ENT0033,FO6,2,2024-07-03,2024-07-17,CN0033,field_visit_preparation
GR00153,ENT0054,FO4,2,2026-07-01,2026-07-15,CN0054,field_visit_preparation
GR00154,ENT0083,FO1,2,2024-02-02,2024-02-16,CN0083,field_visit_preparation
GR00155,ENT0111,FO5,2,2025-12-04,2025-12-18,CN0111,field_visit_preparation
GR00156,ENT0118,FO2,2,2026-06-04,2026-06-18,CN0118,field_visit_preparation
GR00157,ENT0138,FO2,2,2024-04-02,2024-04-16,CN0138,field_visit_preparation
GR00158,ENT0161,FO5,2,2024-05-02,2024-05-16,CN0161,field_visit_preparation
GR00159,ENT0212,FO2,2,2026-05-04,2026-05-18,CN0212,field_visit_preparation
GR00160,ENT0233,FO5,2,2025-02-04,2025-02-18,CN0233,field_visit_preparation
GR00161,ENT0138,FO2,2,2025-11-01,2025-11-15,CN0138,field_visit_preparation
GR00162,ENT0115,FO4,2,2024-05-01,2024-05-15,CN0115,field_visit_preparation
GR00163,ENT0178,FO3,2,2024-08-03,2024-08-17,CN0178,field_visit_preparation
GR00164,ENT0017,FO5,2,2026-06-02,2026-06-16,CN0017,field_visit_preparation
GR00165,ENT0039,FO4,2,2024-11-02,2024-11-16,CN0039,field_visit_preparation
GR00166,ENT0219,FO1,2,2026-05-02,2026-05-16,CN0219,field_visit_preparation
GR00167,ENT0150,FO1,2,2024-01-01,2024-01-15,CN0150,field_visit_preparation
GR00168,ENT0120,FO3,2,2026-03-04,2026-03-18,CN0120,field_visit_preparation
GR00169,ENT0179,FO1,2,2023-12-03,2023-12-17,CN0179,field_visit_preparation
GR00170,ENT0113,FO1,2,2026-07-03,2026-07-17,CN0113,field_visit_preparation
GR00171,ENT0006,FO3,2,2025-06-04,2025-06-18,CN0006,field_visit_preparation
GR00172,ENT0166,FO2,2,2024-05-04,2024-05-18,CN0166,field_visit_preparation
GR00173,ENT0038,FO4,2,2024-03-03,2024-03-17,CN0038,field_visit_preparation
GR00174,ENT0113,FO1,2,2025-09-01,2025-09-15,CN0113,field_visit_preparation
GR00175,ENT0022,FO1,2,2026-06-04,2026-06-18,CN0022,field_visit_preparation
GR00176,ENT0080,FO3,2,2026-01-02,2026-01-16,CN0080,field_visit_preparation
GR00177,ENT0160,FO5,2,2025-05-03,2025-05-17,CN0160,field_visit_preparation
GR00178,ENT0206,FO1,2,2025-05-04,2025-05-18,CN0206,field_visit_preparation
GR00179,ENT0067,FO2,2,2026-01-01,2026-01-15,CN0067,field_visit_preparation
GR00180,ENT0065,FO4,2,2024-03-03,2024-03-17,CN0065,field_visit_preparation
GR00181,ENT0137,FO2,2,2024-04-03,2024-04-17,CN0137,field_visit_preparation
GR00182,ENT0089,FO2,2,2025-05-03,2025-05-17,CN0089,field_visit_preparation
GR00183,ENT0109,FO1,2,2023-12-02,2023-12-16,CN0109,field_visit_preparation
GR00184,ENT0101,FO6,2,2023-12-04,2023-12-18,CN0101,field_visit_preparation
GR00185,ENT0177,FO1,2,2024-08-04,2024-08-18,CN0177,field_visit_preparation
GR00186,ENT0150,FO1,2,2024-03-04,2024-03-18,CN0150,field_visit_preparation
GR00187,ENT0184,FO1,2,2024-05-04,2024-05-18,CN0184,field_visit_preparation
GR00188,ENT0174,FO2,2,2026-05-03,2026-05-17,CN0174,field_visit_preparation
GR00189,ENT0157,FO3,2,2024-04-02,2024-04-16,CN0157,field_visit_preparation
GR00190,ENT0244,FO3,2,2025-09-04,2025-09-18,CN0244,field_visit_preparation
GR00191,ENT0056,FO1,2,2026-07-02,2026-07-16,CN0056,field_visit_preparation
GR00192,ENT0190,FO4,2,2026-06-03,2026-06-17,CN0190,field_visit_preparation
GR00193,ENT0137,FO2,2,2026-05-04,2026-05-18,CN0137,field_visit_preparation
GR00194,ENT0178,FO3,2,2024-12-04,2024-12-18,CN0178,field_visit_preparation
GR00195,ENT0137,FO2,2,2026-03-04,2026-03-18,CN0137,field_visit_preparation
GR00196,ENT0081,FO4,2,2026-05-02,2026-05-16,CN0081,field_visit_preparation
GR00197,ENT0085,FO6,2,2026-03-01,2026-03-15,CN0085,field_visit_preparation
GR00198,ENT0048,FO4,2,2026-05-03,2026-05-17,CN0048,field_visit_preparation
GR00199,ENT0121,FO1,2,2026-04-04,2026-04-18,CN0121,field_visit_preparation
GR00200,ENT0132,FO2,2,2026-06-02,2026-06-16,CN0132,field_visit_preparation
GR00201,ENT0236,FO4,2,2024-05-04,2024-05-18,CN0236,field_visit_preparation
GR00202,ENT0102,FO6,2,2025-08-04,2025-08-18,CN0102,field_visit_preparation
GR00203,ENT0201,FO6,2,2025-08-02,2025-08-16,CN0201,field_visit_preparation
GR00204,ENT0152,FO4,2,2026-05-03,2026-05-17,CN0152,field_visit_preparation
GR00205,ENT0233,FO5,2,2024-04-04,2024-04-18,CN0233,field_visit_preparation
GR00206,ENT0081,FO4,2,2024-07-01,2024-07-15,CN0081,field_visit_preparation
GR00207,ENT0198,FO1,2,2024-09-02,2024-09-16,CN0198,field_visit_preparation
GR00208,ENT0036,FO5,2,2024-02-01,2024-02-15,CN0036,field_visit_preparation
GR00209,ENT0131,FO3,2,2025-07-01,2025-07-15,CN0131,field_visit_preparation
GR00210,ENT0031,FO1,2,2025-04-01,2025-04-15,CN0031,field_visit_preparation
GR00211,ENT0251,FO1,2,2024-04-03,2024-04-17,CN0251,field_visit_preparation
GR00212,ENT0082,FO4,2,2024-06-04,2024-06-18,CN0082,field_visit_preparation
GR00213,ENT0206,FO1,2,2025-03-03,2025-03-17,CN0206,field_visit_preparation
GR00214,ENT0225,FO5,2,2026-07-02,2026-07-16,CN0225,field_visit_preparation
GR00215,ENT0226,FO2,2,2024-02-04,2024-02-18,CN0226,field_visit_preparation
GR00216,ENT0079,FO2,2,2024-02-04,2024-02-18,CN0079,field_visit_preparation
GR00217,ENT0038,FO4,2,2024-07-01,2024-07-15,CN0038,field_visit_preparation
GR00218,ENT0001,FO1,2,2025-07-04,2025-07-18,CN0001,field_visit_preparation
GR00219,ENT0244,FO3,2,2025-05-02,2025-05-16,CN0244,field_visit_preparation
GR00220,ENT0006,FO3,2,2026-04-03,2026-04-17,CN0006,field_visit_preparation
GR00221,ENT0100,FO5,2,2024-04-04,2024-04-18,CN0100,field_visit_preparation
GR00222,ENT0085,FO6,2,2025-09-03,2025-09-17,CN0085,field_visit_preparation
GR00223,ENT0115,FO4,2,2024-03-02,2024-03-16,CN0115,field_visit_preparation
GR00224,ENT0158,FO4,2,2025-05-04,2025-05-18,CN0158,field_visit_preparation
GR00225,ENT0247,FO6,2,2023-12-02,2023-12-16,CN0247,field_visit_preparation
GR00226,ENT0124,FO1,2,2025-06-03,2025-06-17,CN0124,field_visit_preparation
GR00227,ENT0144,FO1,2,2025-04-01,2025-04-15,CN0144,field_visit_preparation
GR00228,ENT0148,FO3,2,2024-02-01,2024-02-15,CN0148,field_visit_preparation
GR00229,ENT0138,FO2,2,2026-01-03,2026-01-17,CN0138,field_visit_preparation
GR00230,ENT0249,FO1,2,2024-02-02,2024-02-16,CN0249,field_visit_preparation
GR00231,ENT0178,FO3,2,2026-05-03,2026-05-17,CN0178,field_visit_preparation
GR00232,ENT0049,FO5,2,2023-12-03,2023-12-17,CN0049,field_visit_preparation
GR00233,ENT0202,FO3,2,2025-05-02,2025-05-16,CN0202,field_visit_preparation
GR00234,ENT0006,FO3,2,2026-08-04,2026-08-18,CN0006,field_visit_preparation
GR00235,ENT0073,FO3,2,2023-12-04,2023-12-18,CN0073,field_visit_preparation
GR00236,ENT0179,FO1,2,2024-02-04,2024-02-18,CN0179,field_visit_preparation
GR00237,ENT0033,FO6,2,2026-07-04,2026-07-18,CN0033,field_visit_preparation
GR00238,ENT0188,FO5,2,2025-02-04,2025-02-18,CN0188,field_visit_preparation
GR00239,ENT0252,FO3,2,2024-09-04,2024-09-18,CN0252,field_visit_preparation
GR00240,ENT0178,FO3,2,2025-09-03,2025-09-17,CN0178,field_visit_preparation
GR00241,ENT0085,FO6,2,2025-05-04,2025-05-18,CN0085,field_visit_preparation
GR00242,ENT0137,FO2,2,2026-07-01,2026-07-15,CN0137,field_visit_preparation
GR00243,ENT0174,FO2,2,2026-07-04,2026-07-18,CN0174,field_visit_preparation
GR00244,ENT0035,FO4,2,2024-07-02,2024-07-16,CN0035,field_visit_preparation
GR00245,ENT0206,FO1,2,2026-05-02,2026-05-16,CN0206,field_visit_preparation
GR00246,ENT0203,FO6,2,2025-04-03,2025-04-17,CN0203,field_visit_preparation
GR00247,ENT0008,FO6,2,2025-07-02,2025-07-16,CN0008,field_visit_preparation
GR00248,ENT0030,FO1,2,2024-08-01,2024-08-15,CN0030,field_visit_preparation
GR00249,ENT0001,FO1,2,2024-09-04,2024-09-18,CN0001,field_visit_preparation
GR00250,ENT0227,FO5,2,2026-07-04,2026-07-18,CN0227,field_visit_preparation
GR00251,ENT0039,FO4,2,2024-02-01,2024-02-15,CN0039,field_visit_preparation
GR00252,ENT0231,FO3,2,2024-08-01,2024-08-15,CN0231,field_visit_preparation
GR00253,ENT0198,FO1,2,2024-11-04,2024-11-18,CN0198,field_visit_preparation
GR00254,ENT0202,FO3,2,2026-06-03,2026-06-17,CN0202,field_visit_preparation
GR00255,ENT0134,FO5,2,2024-02-04,2024-02-18,CN0134,field_visit_preparation
GR00256,ENT0188,FO5,2,2025-09-01,2025-09-15,CN0188,field_visit_preparation
GR00257,ENT0198,FO1,2,2025-04-01,2025-04-15,CN0198,field_visit_preparation
GR00258,ENT0250,FO3,2,2025-05-04,2025-05-18,CN0250,field_visit_preparation
GR00259,ENT0034,FO6,2,2024-11-02,2024-11-16,CN0034,field_visit_preparation
GR00260,ENT0141,FO6,2,2024-03-02,2024-03-16,CN0141,field_visit_preparation
GR00261,ENT0065,FO4,2,2024-05-02,2024-05-16,CN0065,field_visit_preparation
GR00262,ENT0151,FO1,2,2023-12-01,2023-12-15,CN0151,field_visit_preparation
GR00263,ENT0206,FO1,2,2026-07-02,2026-07-16,CN0206,field_visit_preparation
GR00264,ENT0140,FO6,2,2026-06-03,2026-06-17,CN0140,field_visit_preparation
GR00265,ENT0203,FO6,2,2025-01-04,2025-01-18,CN0203,field_visit_preparation
GR00266,ENT0035,FO4,2,2023-12-01,2023-12-15,CN0035,field_visit_preparation
GR00267,ENT0235,FO3,2,2026-07-04,2026-07-18,CN0235,field_visit_preparation
GR00268,ENT0177,FO1,2,2025-05-03,2025-05-17,CN0177,field_visit_preparation
GR00269,ENT0177,FO1,2,2024-06-01,2024-06-15,CN0177,field_visit_preparation
GR00270,ENT0016,FO6,2,2024-07-01,2024-07-15,CN0016,field_visit_preparation
GR00271,ENT0037,FO2,2,2025-05-02,2025-05-16,CN0037,field_visit_preparation
GR00272,ENT0160,FO5,2,2024-12-04,2024-12-18,CN0160,field_visit_preparation
GR00273,ENT0213,FO2,2,2025-05-03,2025-05-17,CN0213,field_visit_preparation
GR00274,ENT0216,FO3,2,2025-05-02,2025-05-16,CN0216,field_visit_preparation
GR00275,ENT0036,FO5,2,2025-10-02,2025-10-16,CN0036,field_visit_preparation
GR00276,ENT0180,FO1,2,2025-09-04,2025-09-18,CN0180,field_visit_preparation
GR00277,ENT0076,FO5,2,2024-12-03,2024-12-17,CN0076,field_visit_preparation
GR00278,ENT0189,FO4,2,2026-03-04,2026-03-18,CN0189,field_visit_preparation
GR00279,ENT0050,FO6,2,2024-04-02,2024-04-16,CN0050,field_visit_preparation
GR00280,ENT0089,FO2,2,2024-05-02,2024-05-16,CN0089,field_visit_preparation
GR00281,ENT0192,FO4,2,2026-06-01,2026-06-15,CN0192,field_visit_preparation
GR00282,ENT0039,FO4,2,2025-09-04,2025-09-18,CN0039,field_visit_preparation
GR00283,ENT0184,FO1,2,2025-06-04,2025-06-18,CN0184,field_visit_preparation
GR00284,ENT0007,FO3,2,2024-05-04,2024-05-18,CN0007,field_visit_preparation
GR00285,ENT0134,FO5,2,2025-05-02,2025-05-16,CN0134,field_visit_preparation
GR00286,ENT0189,FO4,2,2024-01-04,2024-01-18,CN0189,field_visit_preparation
GR00287,ENT0033,FO6,2,2025-09-02,2025-09-16,CN0033,field_visit_preparation
GR00288,ENT0104,FO3,2,2025-10-01,2025-10-15,CN0104,field_visit_preparation
GR00289,ENT0026,FO6,2,2023-12-04,2023-12-18,CN0026,field_visit_preparation
GR00290,ENT0199,FO1,2,2026-04-03,2026-04-17,CN0199,field_visit_preparation
GR00291,ENT0143,FO6,2,2023-12-03,2023-12-17,CN0143,field_visit_preparation
GR00292,ENT0031,FO1,2,2024-06-03,2024-06-17,CN0031,field_visit_preparation
GR00293,ENT0038,FO4,2,2026-05-02,2026-05-16,CN0038,field_visit_preparation
GR00294,ENT0202,FO3,2,2025-09-03,2025-09-17,CN0202,field_visit_preparation
GR00295,ENT0095,FO4,2,2026-07-03,2026-07-17,CN0095,field_visit_preparation
GR00296,ENT0079,FO2,2,2023-12-01,2023-12-15,CN0079,field_visit_preparation
GR00297,ENT0239,FO4,2,2024-05-02,2024-05-16,CN0239,field_visit_preparation
GR00298,ENT0174,FO2,2,2024-07-02,2024-07-16,CN0174,field_visit_preparation
GR00299,ENT0205,FO1,2,2026-07-03,2026-07-17,CN0205,field_visit_preparation
GR00300,ENT0074,FO3,2,2026-05-01,2026-05-15,CN0074,field_visit_preparation
GR00301,ENT0166,FO2,2,2023-12-04,2023-12-18,CN0166,field_visit_preparation
GR00302,ENT0184,FO1,2,2025-08-04,2025-08-18,CN0184,field_visit_preparation
GR00303,ENT0085,FO6,2,2025-12-02,2025-12-16,CN0085,field_visit_preparation
GR00304,ENT0036,FO5,2,2024-07-03,2024-07-17,CN0036,field_visit_preparation
GR00305,ENT0137,FO2,2,2025-06-01,2025-06-15,CN0137,field_visit_preparation
GR00306,ENT0161,FO5,2,2024-02-01,2024-02-15,CN0161,field_visit_preparation
GR00307,ENT0100,FO5,2,2023-12-01,2023-12-15,CN0100,field_visit_preparation
GR00308,ENT0116,FO2,2,2024-09-04,2024-09-18,CN0116,field_visit_preparation
GR00309,ENT0203,FO6,2,2025-08-04,2025-08-18,CN0203,field_visit_preparation
