episode_id,enterprise_id,onset_date,resolution_date,first_missed_repayment,duration_days,mechanism,severity,min_buffer_days,causal_drivers,label_source
EP0062,ENT0081,2026-05-31,,,61,margin_squeeze,high,-3.1,"{""margin_squeeze"": 1.747, ""working_capital_erosion"": 0.515, ""climate_shock"": 0.217, ""debt_overhang"": 0.112, ""demand_trough"": 0.051}",simulator
EP0063,ENT0083,2024-03-21,2025-06-09,2024-04-05,445,demand_trough,high,-4.1,"{""demand_trough"": 0.358, ""working_capital_erosion"": 0.318}",simulator
EP0064,ENT0085,2025-05-22,,,435,margin_squeeze,low,10.8,"{""margin_squeeze"": 0.716, ""working_capital_erosion"": 0.238, ""climate_shock"": 0.052}",simulator
EP0065,ENT0085,2026-06-14,,,47,margin_squeeze,high,-6.7,"{""margin_squeeze"": 1.121, ""climate_shock"": 0.097, ""working_capital_erosion"": 0.057}",simulator
EP0066,ENT0086,2024-06-07,2024-11-21,,167,climate_shock,medium,3.6,"{""climate_shock"": 1.261, ""margin_squeeze"": 0.844, ""working_capital_erosion"": 0.405, ""receivable_stretch"": 0.362, ""demand_trough"": 0.087}",simulator
EP0067,ENT0087,2024-05-24,2024-11-27,2024-08-22,187,climate_shock,high,-3.0,"{""climate_shock"": 1.239, ""margin_squeeze"": 0.798, ""working_capital_erosion"": 0.568, ""demand_trough"": 0.125, ""debt_overhang"": 0.089}",simulator
EP0068,ENT0087,2026-05-24,,,68,margin_squeeze,high,-2.9,"{""margin_squeeze"": 1.668, ""climate_shock"": 1.125, ""demand_trough"": 0.283, ""working_capital_erosion"": 0.266}",simulator
EP0069,ENT0089,2024-05-12,2025-02-21,,285,climate_shock,high,-4.0,"{""climate_shock"": 1.128, ""margin_squeeze"": 0.383, ""working_capital_erosion"": 0.358, ""debt_overhang"": 0.091}",simulator
EP0070,ENT0089,2025-05-28,2026-01-28,,245,margin_squeeze,high,-3.1,"{""margin_squeeze"": 0.499, ""working_capital_erosion"": 0.291, ""climate_shock"": 0.198}",simulator
EP0071,ENT0089,2026-05-15,,,77,climate_shock,high,-2.7,"{""climate_shock"": 1.016, ""demand_trough"": 0.492, ""margin_squeeze"": 0.281, ""working_capital_erosion"": 0.21}",simulator
EP0072,ENT0091,2024-05-05,2024-12-25,2024-06-27,234,margin_squeeze,high,0.6,"{""margin_squeeze"": 0.578, ""working_capital_erosion"": 0.425, ""climate_shock"": 0.204, ""debt_overhang"": 0.103}",simulator
EP0073,ENT0091,2025-05-21,2025-12-30,2026-07-30,223,receivable_stretch,high,-3.6,"{""receivable_stretch"": 0.266, ""working_capital_erosion"": 0.248, ""margin_squeeze"": 0.208, ""climate_shock"": 0.199}",simulator
EP0074,ENT0091,2026-05-25,,2026-07-30,67,margin_squeeze,high,-3.7,"{""margin_squeeze"": 1.724, ""working_capital_erosion"": 0.272, ""climate_shock"": 0.206}",simulator
EP0075,ENT0094,2024-04-20,2025-06-18,,424,demand_trough,medium,5.2,"{""demand_trough"": 0.293, ""climate_shock"": 0.15}",simulator
EP0076,ENT0100,2024-03-13,2025-02-06,,330,climate_shock,low,8.5,"{""climate_shock"": 0.251}",simulator
EP0077,ENT0104,2024-10-09,,2024-10-21,660,working_capital_erosion,high,-13.5,"{""working_capital_erosion"": 0.773, ""demand_trough"": 0.647, ""debt_overhang"": 0.613, ""margin_squeeze"": 0.238}",simulator
EP0078,ENT0104,2025-05-26,,2025-08-21,431,margin_squeeze,medium,4.8,"{""margin_squeeze"": 0.956, ""working_capital_erosion"": 0.283, ""climate_shock"": 0.23, ""demand_trough"": 0.06}",simulator
EP0079,ENT0104,2026-04-17,,,105,margin_squeeze,high,-11.3,"{""margin_squeeze"": 1.614, ""climate_shock"": 0.057}",simulator
EP0080,ENT0107,2024-05-12,,,810,climate_shock,high,-4.3,"{""climate_shock"": 1.194, ""margin_squeeze"": 0.719, ""working_capital_erosion"": 0.311, ""demand_trough"": 0.238, ""debt_overhang"": 0.147}",simulator
EP0081,ENT0107,2025-04-21,,,466,demand_trough,high,-4.3,"{""demand_trough"": 0.149, ""margin_squeeze"": 0.08, ""working_capital_erosion"": 0.065}",simulator
EP0082,ENT0107,2026-04-20,,,102,margin_squeeze,high,-3.1,"{""margin_squeeze"": 1.485, ""demand_trough"": 0.073, ""climate_shock"": 0.072, ""working_capital_erosion"": 0.058}",simulator
EP0083,ENT0108,2026-05-30,,,62,climate_shock,high,-3.2,"{""climate_shock"": 1.264, ""margin_squeeze"": 0.627, ""working_capital_erosion"": 0.303}",simulator
EP0084,ENT0109,2024-02-27,2025-06-11,,470,demand_trough,high,-3.4,"{""demand_trough"": 0.427, ""working_capital_erosion"": 0.093}",simulator
EP0085,ENT0111,2024-01-12,2025-04-10,2024-02-05,454,working_capital_erosion,high,-8.3,"{""working_capital_erosion"": 0.169}",simulator
EP0086,ENT0111,2024-07-10,2025-04-10,2024-08-05,274,demand_trough,high,-6.3,"{""demand_trough"": 0.636, ""working_capital_erosion"": 0.444}",simulator
EP0087,ENT0113,2024-07-19,2025-03-20,2024-11-06,244,margin_squeeze,high,-2.1,"{""margin_squeeze"": 1.383, ""debt_overhang"": 0.188, ""working_capital_erosion"": 0.186, ""climate_shock"": 0.108}",simulator
EP0088,ENT0113,2025-02-05,2025-03-20,2025-07-06,43,working_capital_erosion,high,-1.1,"{""working_capital_erosion"": 0.09}",simulator
EP0089,ENT0113,2025-07-14,2026-01-18,,188,margin_squeeze,medium,7.2,"{""margin_squeeze"": 0.884, ""working_capital_erosion"": 0.467, ""debt_overhang"": 0.3, ""climate_shock"": 0.099}",simulator
EP0090,ENT0113,2026-06-23,,,38,receivable_stretch,high,2.3,"{""receivable_stretch"": 2.711, ""climate_shock"": 1.057, ""margin_squeeze"": 0.993, ""debt_overhang"": 0.587, ""working_capital_erosion"": 0.067}",simulator
EP0091,ENT0115,2024-05-22,2025-01-25,,248,margin_squeeze,high,2.9,"{""margin_squeeze"": 0.61, ""working_capital_erosion"": 0.358, ""climate_shock"": 0.224, ""demand_trough"": 0.174, ""debt_overhang"": 0.137}",simulator
EP0092,ENT0115,2025-06-02,2025-12-10,,191,working_capital_erosion,high,-3.8,"{""working_capital_erosion"": 0.322, ""margin_squeeze"": 0.247, ""climate_shock"": 0.213, ""debt_overhang"": 0.147}",simulator
EP0093,ENT0115,2026-05-22,,,70,margin_squeeze,medium,3.8,"{""margin_squeeze"": 1.709, ""working_capital_erosion"": 0.254, ""receivable_stretch"": 0.225, ""climate_shock"": 0.203, ""demand_trough"": 0.158}",simulator
EP0094,ENT0121,2026-05-27,,,65,margin_squeeze,high,-2.8,"{""margin_squeeze"": 1.695, ""climate_shock"": 1.139, ""working_capital_erosion"": 0.364, ""debt_overhang"": 0.137}",simulator
EP0095,ENT0123,2023-11-29,2025-07-02,,581,working_capital_erosion,high,-4.9,"{""working_capital_erosion"": 1.011, ""climate_shock"": 0.06}",simulator
EP0096,ENT0124,2026-06-10,,,51,margin_squeeze,medium,5.3,"{""margin_squeeze"": 1.745, ""climate_shock"": 1.177, ""working_capital_erosion"": 0.427, ""demand_trough"": 0.217}",simulator
EP0097,ENT0130,2026-07-02,,,29,receivable_stretch,low,11.6,"{""receivable_stretch"": 1.327, ""margin_squeeze"": 1.292, ""climate_shock"": 1.122, ""working_capital_erosion"": 0.534}",simulator
EP0098,ENT0131,2025-07-16,2026-01-18,,186,margin_squeeze,low,10.1,"{""margin_squeeze"": 1.294, ""working_capital_erosion"": 0.352, ""climate_shock"": 0.133}",simulator
EP0099,ENT0131,2025-12-03,2026-01-18,,46,working_capital_erosion,high,-2.0,"{""working_capital_erosion"": 0.639, ""receivable_stretch"": 0.631}",simulator
EP0100,ENT0134,2024-02-22,2024-08-12,,172,demand_trough,high,1.4,"{""demand_trough"": 0.257, ""climate_shock"": 0.103, ""working_capital_erosion"": 0.085}",simulator
EP0101,ENT0137,2024-06-18,2024-12-10,,175,climate_shock,high,-2.8,"{""climate_shock"": 1.302, ""margin_squeeze"": 0.633, ""working_capital_erosion"": 0.522, ""demand_trough"": 0.067}",simulator
EP0102,ENT0137,2025-06-09,2026-01-12,,217,margin_squeeze,high,-0.9,"{""margin_squeeze"": 0.523, ""working_capital_erosion"": 0.326, ""climate_shock"": 0.251}",simulator
EP0103,ENT0137,2026-05-29,,,63,climate_shock,high,-3.2,"{""climate_shock"": 1.122, ""margin_squeeze"": 0.421, ""working_capital_erosion"": 0.297}",simulator
EP0104,ENT0138,2024-04-15,2026-05-18,2024-05-14,763,demand_trough,high,-8.7,"{""demand_trough"": 0.448, ""working_capital_erosion"": 0.409}",simulator
EP0105,ENT0138,2025-06-21,2026-05-18,,331,working_capital_erosion,high,-7.0,"{""working_capital_erosion"": 0.445, ""demand_trough"": 0.192}",simulator
EP0106,ENT0140,2023-12-29,,2024-01-10,945,debt_overhang,high,-7.3,"{""debt_overhang"": 0.3, ""working_capital_erosion"": 0.103, ""climate_shock"": 0.059}",simulator
EP0107,ENT0140,2024-05-26,,2024-06-10,796,demand_trough,high,-7.5,"{""demand_trough"": 0.667, ""working_capital_erosion"": 0.542}",simulator
EP0108,ENT0140,2025-03-20,,2025-06-10,498,demand_trough,high,-6.4,"{""demand_trough"": 0.406, ""working_capital_erosion"": 0.078}",simulator
EP0109,ENT0140,2025-09-05,,2025-10-10,329,receivable_stretch,high,-5.0,"{""receivable_stretch"": 3.059, ""working_capital_erosion"": 0.529, ""debt_overhang"": 0.427}",simulator
EP0110,ENT0140,2026-07-08,,,23,working_capital_erosion,high,-6.2,"{""working_capital_erosion"": 0.408, ""demand_trough"": 0.057}",simulator
EP0111,ENT0141,2023-11-29,2024-03-24,2024-03-01,116,debt_overhang,high,-6.6,"{""debt_overhang"": 0.3}",simulator
EP0112,ENT0144,2024-05-25,2025-11-10,2024-07-29,534,climate_shock,high,-3.1,"{""climate_shock"": 1.244, ""margin_squeeze"": 0.804, ""working_capital_erosion"": 0.512, ""debt_overhang"": 0.508, ""demand_trough"": 0.459}",simulator
EP0113,ENT0144,2025-07-18,2025-11-10,,115,working_capital_erosion,medium,4.9,"{""working_capital_erosion"": 0.319, ""margin_squeeze"": 0.296, ""receivable_stretch"": 0.22, ""climate_shock"": 0.151}",simulator
EP0114,ENT0150,2024-03-18,2024-08-02,,137,working_capital_erosion,high,-2.8,{},simulator
EP0115,ENT0151,2023-12-08,2024-02-10,2023-12-30,64,working_capital_erosion,high,-7.5,"{""working_capital_erosion"": 0.798, ""debt_overhang"": 0.3}",simulator
EP0116,ENT0152,2024-04-20,2025-01-06,,261,demand_trough,high,3.0,"{""demand_trough"": 0.137, ""climate_shock"": 0.06}",simulator
EP0117,ENT0155,2026-06-08,,,53,climate_shock,high,-2.7,"{""climate_shock"": 1.154, ""margin_squeeze"": 0.48, ""working_capital_erosion"": 0.362, ""demand_trough"": 0.214, ""debt_overhang"": 0.112}",simulator
EP0118,ENT0157,2024-04-18,2025-06-20,2024-05-08,428,demand_trough,high,-3.1,"{""demand_trough"": 0.189}",simulator
EP0119,ENT0159,2023-11-30,2024-03-02,,93,working_capital_erosion,medium,7.9,"{""working_capital_erosion"": 0.281}",simulator
EP0120,ENT0160,2024-03-13,2025-07-18,,492,climate_shock,high,2.0,"{""climate_shock"": 0.251}",simulator
EP0121,ENT0160,2024-11-01,2025-07-18,,259,receivable_stretch,high,0.3,"{""receivable_stretch"": 0.5, ""demand_trough"": 0.097, ""debt_overhang"": 0.094}",simulator
EP0122,ENT0161,2024-03-03,2026-07-24,2024-12-25,873,climate_shock,high,1.7,"{""climate_shock"": 0.255, ""demand_trough"": 0.158, ""working_capital_erosion"": 0.081}",simulator
EP0123,ENT0161,2024-09-29,2026-07-24,2024-12-25,663,working_capital_erosion,high,-1.8,"{""working_capital_erosion"": 0.312, ""demand_trough"": 0.189, ""debt_overhang"": 0.065}",simulator
EP0124,ENT0161,2025-09-25,2026-07-24,,302,working_capital_erosion,medium,5.9,"{""working_capital_erosion"": 0.321, ""demand_trough"": 0.217, ""receivable_stretch"": 0.076}",simulator
EP0125,ENT0162,2024-07-01,2025-01-07,,190,margin_squeeze,high,1.9,"{""margin_squeeze"": 0.636, ""demand_trough"": 0.435, ""working_capital_erosion"": 0.417, ""climate_shock"": 0.141, ""debt_overhang"": 0.111}",simulator
EP0126,ENT0162,2026-06-15,,,46,margin_squeeze,high,2.5,"{""margin_squeeze"": 1.757, ""working_capital_erosion"": 0.534, ""climate_shock"": 0.168, ""debt_overhang"": 0.061}",simulator
EP0127,ENT0166,2023-11-29,2025-02-23,2023-11-29,452,working_capital_erosion,high,-6.8,"{""working_capital_erosion"": 0.912, ""debt_overhang"": 0.3}",simulator
EP0128,ENT0166,2024-07-16,2025-02-23,2024-09-29,222,working_capital_erosion,high,-5.6,"{""working_capital_erosion"": 0.413}",simulator
EP0129,ENT0174,2023-12-17,2024-10-09,,297,working_capital_erosion,high,-2.0,"{""working_capital_erosion"": 0.295}",simulator
EP0130,ENT0174,2024-07-13,2024-10-09,,88,margin_squeeze,high,-3.4,"{""margin_squeeze"": 1.325, ""working_capital_erosion"": 0.383, ""climate_shock"": 0.238}",simulator
EP0131,ENT0174,2025-05-11,,,446,debt_overhang,high,-6.4,"{""debt_overhang"": 2.621, ""receivable_stretch"": 1.847, ""margin_squeeze"": 0.592}",simulator
EP0132,ENT0174,2026-06-03,,,58,climate_shock,high,-10.6,"{""climate_shock"": 1.046, ""margin_squeeze"": 0.957, ""demand_trough"": 0.212}",simulator
EP0133,ENT0177,2024-09-02,2025-01-02,,122,margin_squeeze,high,-1.7,"{""margin_squeeze"": 0.995, ""working_capital_erosion"": 0.769, ""debt_overhang"": 0.597, ""demand_trough"": 0.569}",simulator
EP0134,ENT0178,2024-12-22,,,586,demand_trough,low,10.2,"{""demand_trough"": 0.9, ""receivable_stretch"": 0.766, ""working_capital_erosion"": 0.491}",simulator
EP0135,ENT0178,2025-05-21,,,436,margin_squeeze,medium,5.1,"{""margin_squeeze"": 0.874, ""receivable_stretch"": 0.601, ""working_capital_erosion"": 0.308, ""climate_shock"": 0.21}",simulator
EP0136,ENT0178,2026-04-25,,,97,margin_squeeze,high,-10.9,"{""margin_squeeze"": 1.417, ""climate_shock"": 0.096}",simulator
EP0137,ENT0181,2023-11-29,2024-03-10,2023-11-30,102,working_capital_erosion,high,-7.3,"{""working_capital_erosion"": 0.935, ""debt_overhang"": 0.3}",simulator
EP0138,ENT0182,2024-05-30,,2024-08-21,792,climate_shock,high,-3.5,"{""climate_shock"": 1.258, ""margin_squeeze"": 0.525, ""working_capital_erosion"": 0.396}",simulator
EP0139,ENT0182,2025-05-06,,,451,margin_squeeze,high,-4.0,"{""margin_squeeze"": 0.395, ""working_capital_erosion"": 0.154, ""demand_trough"": 0.098}",simulator
EP0140,ENT0182,2026-05-09,,,83,margin_squeeze,high,-3.8,"{""margin_squeeze"": 0.25, ""working_capital_erosion"": 0.173, ""climate_shock"": 0.073}",simulator
EP0141,ENT0184,2024-04-05,2025-11-14,,588,margin_squeeze,high,-2.6,"{""margin_squeeze"": 0.572, ""demand_trough"": 0.151, ""working_capital_erosion"": 0.126, ""climate_shock"": 0.071}",simulator
EP0142,ENT0184,2025-06-04,2025-11-14,,163,margin_squeeze,high,-4.1,"{""margin_squeeze"": 0.433, ""working_capital_erosion"": 0.316, ""climate_shock"": 0.231}",simulator
EP0143,ENT0184,2026-05-28,,,64,margin_squeeze,high,-3.3,"{""margin_squeeze"": 1.705, ""climate_shock"": 1.145, ""demand_trough"": 0.421, ""working_capital_erosion"": 0.291}",simulator
EP0144,ENT0186,2024-06-06,2024-11-11,,158,climate_shock,medium,6.8,"{""climate_shock"": 1.267, ""margin_squeeze"": 0.843, ""working_capital_erosion"": 0.404}",simulator
EP0145,ENT0186,2026-06-05,,,56,margin_squeeze,high,-2.6,"{""margin_squeeze"": 1.742, ""climate_shock"": 1.177, ""working_capital_erosion"": 0.653}",simulator
EP0146,ENT0188,2023-11-29,,2024-06-20,975,working_capital_erosion,high,-7.2,"{""working_capital_erosion"": 1.736, ""debt_overhang"": 0.6}",simulator
EP0147,ENT0188,2024-05-28,,2024-06-20,794,working_capital_erosion,high,-7.3,"{""working_capital_erosion"": 0.547, ""demand_trough"": 0.107}",simulator
EP0148,ENT0188,2024-10-24,,2025-01-20,645,receivable_stretch,high,-6.0,"{""receivable_stretch"": 1.232, ""debt_overhang"": 0.3, ""working_capital_erosion"": 0.252}",simulator
EP0149,ENT0188,2025-06-20,,2025-08-20,406,working_capital_erosion,high,-5.9,"{""working_capital_erosion"": 0.445}",simulator
EP0150,ENT0188,2025-11-21,,2026-01-20,252,receivable_stretch,high,-6.1,"{""receivable_stretch"": 2.764}",simulator
EP0151,ENT0188,2026-05-23,,,69,working_capital_erosion,high,-7.9,"{""working_capital_erosion"": 0.423, ""demand_trough"": 0.115}",simulator
