alert_id,assessment_id,enterprise_id,as_of,sector,district_id,prob_stress,prob_missed_repayment,rule_score,fused_score,risk_tier,tier_cutoffs,band_width,low_visibility,data_completeness,buffer_days,dscr_annual,credit_headroom,suggested_max_emi,bridge_headroom,net_buffer_days,forecast_net_90d_p10,forecast_net_90d_p50,forecast_net_90d_p90,reason_1,reason_1_contrib,reason_2,reason_2_contrib,reason_3,reason_3_contrib,fusion_weights,model_id,rule_version,raised_at,projected_shortfall,shortfall_week_of,deadline_date,expires_at,merchant_visible,exported_to_bureau,disputed_at
AL00011,AS000029,ENT0001,2026-03-31,DAIRY,1,0.840362379562904,0.00025791356995437907,0.2211,0.4998,AMBER,AMBER>=0.38;RED>=0.58,97391.0,False,0.78,31.2,2.93,2500.0,119.0,6300.0,31.2,-76958.0,-16077.0,20433.0,demand_trough,0.3243,margin_squeeze,0.2571,,0.0,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2026-03-31,86200.0,2026-08-28,2026-08-28,2026-06-14,True,False,
AL00012,AS000031,ENT0001,2026-05-31,DAIRY,1,0.08835256835893798,0.00018282476575451456,1.0,0.5898,RED,AMBER>=0.38;RED>=0.58,51844.0,False,0.788,-1.9,1.6,1300.0,62.0,2900.0,-9.6,-52438.0,-8940.0,-594.0,margin_squeeze,1.0,working_capital_erosion,1.0,receivable_stretch,0.3333,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2026-05-31,49900.0,2026-08-29,2026-08-29,2026-08-14,True,False,
AL00013,AS000033,ENT0001,2026-07-31,DAIRY,1,0.07226566168166085,0.0001421746895463813,0.6526,0.3914,AMBER,AMBER>=0.38;RED>=0.58,,False,0.791,17.7,2.18,7200.0,342.0,14200.0,-25.7,,,,margin_squeeze,0.7429,working_capital_erosion,0.7353,debt_overhang,0.3056,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2026-07-31,36700.0,2027-01-27,2027-01-27,2026-10-14,True,False,
AL00014,AS000034,ENT0002,2023-11-30,FOODPROC,5,0.11226269977121091,0.0009416367887597724,0.7684,0.4731,AMBER,AMBER>=0.38;RED>=0.58,102944.0,False,0.778,10.0,-0.23,0.0,0.0,51000.0,-1.5,-1534.0,57352.0,101410.0,working_capital_erosion,0.7353,demand_trough,0.7297,debt_overhang,0.5833,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2023-11-30,24000.0,2024-03-29,2024-03-29,2024-02-13,True,False,
AL00015,AS000051,ENT0002,2025-04-30,FOODPROC,5,5.176131848889836e-05,3.0156412170742377e-06,0.7474,0.4111,AMBER,AMBER>=0.38;RED>=0.58,182059.0,False,0.821,41.6,5.66,267800.0,12732.0,50800.0,41.6,28939.0,196403.0,210998.0,demand_trough,0.7297,climate_shock,0.7143,receivable_stretch,0.303,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2025-04-30,7200.0,2025-05-30,2025-05-30,2025-07-14,True,False,
AL00016,AS000063,ENT0002,2026-04-30,FOODPROC,5,3.272377924348872e-05,1.5308035003580726e-06,0.7579,0.4169,AMBER,AMBER>=0.38;RED>=0.58,166234.0,False,0.853,51.0,,330900.0,15732.0,67700.0,51.0,60489.0,209203.0,226723.0,demand_trough,0.7297,climate_shock,0.7143,receivable_stretch,0.3333,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2026-04-30,0.0,,2026-06-20,2026-07-14,True,False,
AL00017,AS000067,ENT0003,2023-11-30,FOODPROC,4,0.15392833902273817,0.004916448520310814,1.0,0.6193,RED,AMBER>=0.38;RED>=0.58,80597.0,False,0.848,0.9,-2.31,0.0,0.0,28400.0,-21.1,8986.0,57044.0,89583.0,debt_overhang,1.0,working_capital_erosion,0.7353,demand_trough,0.7297,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2023-11-30,50500.0,2024-04-28,2024-04-28,2024-02-13,True,False,
AL00018,AS000069,ENT0003,2024-01-31,FOODPROC,4,0.761358467444408,0.01003599530613429,0.4842,0.6089,RED,AMBER>=0.38;RED>=0.58,134445.0,False,0.862,17.0,-0.02,0.0,0.0,38900.0,-5.2,-76016.0,-17479.0,58429.0,working_capital_erosion,0.7353,debt_overhang,0.3056,climate_shock,0.2857,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2024-01-31,71300.0,2024-04-30,2024-04-30,2024-04-15,True,False,
AL00019,AS000071,ENT0003,2024-03-31,FOODPROC,4,0.11210035447654437,0.005964718330979917,0.6,0.3804,AMBER,AMBER>=0.38;RED>=0.58,100668.0,False,0.867,5.0,0.09,1000.0,48.0,40200.0,-11.5,27121.0,64789.0,127789.0,working_capital_erosion,0.7353,demand_trough,0.3243,debt_overhang,0.3056,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2024-03-31,25300.0,2024-04-30,2024-04-30,2024-06-14,True,False,
AL00020,AS000073,ENT0003,2024-05-31,FOODPROC,4,0.06000641959618772,0.005692719040096572,0.8632,0.5018,AMBER,AMBER>=0.38;RED>=0.58,83111.0,False,0.886,6.3,0.43,5600.0,266.0,23800.0,-14.5,30697.0,90820.0,113808.0,working_capital_erosion,0.7353,demand_trough,0.7297,debt_overhang,0.3056,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2024-05-31,14300.0,2024-06-30,2024-06-30,2024-08-14,True,False,
AL00021,AS000079,ENT0003,2024-11-30,FOODPROC,4,0.00035617866955348456,0.0006757675703025579,0.6947,0.3822,AMBER,AMBER>=0.38;RED>=0.58,88262.0,False,0.926,25.5,3.6,226700.0,10778.0,22500.0,25.5,-1.0,40184.0,88261.0,demand_trough,1.0,climate_shock,0.3143,working_capital_erosion,0.2647,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2024-11-30,85400.0,2025-04-29,2025-04-29,2025-02-13,True,False,
AL00022,AS000096,ENT0003,2026-04-30,FOODPROC,4,0.00037556222507118816,0.00029300686892199957,0.8421,0.4633,AMBER,AMBER>=0.38;RED>=0.58,199393.0,False,1.0,26.3,3.03,172500.0,8201.0,56500.0,26.3,1598.0,155381.0,200991.0,demand_trough,1.0,climate_shock,0.7143,working_capital_erosion,0.2647,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2026-04-30,21400.0,2026-05-30,2026-05-30,2026-07-14,True,False,
AL00023,AS000117,ENT0004,2025-04-30,FOODPROC,3,0.00012537296016129133,4.775138472967053e-06,0.9474,0.5211,AMBER,AMBER>=0.38;RED>=0.58,194124.0,False,0.92,46.5,,174100.0,8277.0,60900.0,46.5,20907.0,166084.0,215031.0,climate_shock,1.0,demand_trough,1.0,working_capital_erosion,0.2647,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2025-04-30,18100.0,2025-05-30,2025-05-30,2025-07-14,True,False,
AL00024,AS000129,ENT0004,2026-04-30,FOODPROC,3,0.0003548712625085133,6.572927652951049e-06,0.8632,0.4749,AMBER,AMBER>=0.38;RED>=0.58,581134.0,False,1.0,51.8,,170300.0,8096.0,89000.0,51.8,-93984.0,267938.0,487150.0,demand_trough,0.7297,climate_shock,0.7143,receivable_stretch,0.6364,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2026-04-30,102100.0,2026-08-28,2026-08-28,2026-07-14,True,False,
AL00025,AS000133,ENT0005,2023-11-30,HANDICRAFT,2,0.13501632479121464,0.033344901062867575,0.7895,0.495,AMBER,AMBER>=0.38;RED>=0.58,134943.0,False,0.627,17.7,-3.57,0.0,0.0,6400.0,-15.3,-34977.0,80027.0,99966.0,working_capital_erosion,0.7353,debt_overhang,0.7222,receivable_stretch,0.3636,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2023-11-30,31000.0,2023-12-30,2023-12-30,2024-02-13,True,False,
AL00026,AS000135,ENT0005,2024-01-31,HANDICRAFT,2,0.013610572101798484,0.09982425074474319,0.9368,0.5214,AMBER,AMBER>=0.38;RED>=0.58,112554.0,False,0.64,1.4,-0.62,0.0,0.0,1200.0,-2.1,-10282.0,65893.0,102272.0,working_capital_erosion,0.7353,receivable_stretch,0.6667,demand_trough,0.3243,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2024-01-31,25200.0,2024-03-01,2024-03-01,2024-04-15,True,False,
AL00027,AS000148,ENT0005,2025-02-28,HANDICRAFT,2,6.958447508882122e-05,9.937763430786241e-06,0.7368,0.4053,AMBER,AMBER>=0.38;RED>=0.58,76644.0,False,0.719,149.8,9.55,114300.0,5434.0,21100.0,149.8,7023.0,37903.0,83667.0,receivable_stretch,1.0,demand_trough,1.0,,0.0,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2025-02-28,19000.0,2025-06-28,2025-06-28,2025-05-14,True,False,2025-03-04
AL00028,AS000150,ENT0005,2025-04-30,HANDICRAFT,2,0.00040413316243518286,5.3632188471389975e-05,0.7053,0.3881,AMBER,AMBER>=0.38;RED>=0.58,88641.0,False,0.733,133.0,8.38,59700.0,2838.0,14800.0,133.0,-25348.0,-385.0,63293.0,receivable_stretch,1.0,climate_shock,0.7143,working_capital_erosion,0.2647,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2025-04-30,79300.0,2025-08-28,2025-08-28,2025-07-14,True,False,2025-05-16
AL00029,AS000158,ENT0005,2025-12-31,HANDICRAFT,2,0.0001209942288062696,0.00011187451956414928,0.7684,0.4227,AMBER,AMBER>=0.38;RED>=0.58,146807.0,False,0.784,80.7,7.52,32500.0,1545.0,1700.0,80.7,3535.0,126066.0,150342.0,receivable_stretch,1.0,demand_trough,0.5946,working_capital_erosion,0.2647,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2025-12-31,18700.0,2026-04-30,2026-04-30,2026-03-16,True,False,
AL00030,AS000162,ENT0005,2026-04-30,HANDICRAFT,2,0.0002297940280573231,1.5028253508339803e-05,0.7053,0.388,AMBER,AMBER>=0.38;RED>=0.58,102994.0,False,0.807,129.2,8.48,86700.0,4122.0,14700.0,129.2,-21129.0,22716.0,81865.0,receivable_stretch,1.0,climate_shock,0.7143,working_capital_erosion,0.2647,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2026-04-30,49500.0,2026-08-28,2026-08-28,2026-07-14,True,False,2026-05-18
AL00031,AS000169,ENT0006,2024-02-29,DAIRY,3,0.775819513898647,0.0003924159563736743,0.3368,0.5344,AMBER,AMBER>=0.38;RED>=0.58,147175.0,False,0.816,46.6,1.95,16300.0,775.0,40700.0,46.6,-142839.0,-40155.0,4336.0,demand_trough,0.3243,climate_shock,0.2857,debt_overhang,0.2778,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2024-02-29,198000.0,2024-06-28,2024-06-28,2024-05-14,True,False,
AL00032,AS000171,ENT0006,2024-04-30,DAIRY,3,0.897111530126907,0.8600304431665048,0.4105,0.6295,RED,AMBER>=0.38;RED>=0.58,130054.0,False,0.834,24.4,1.63,15900.0,756.0,23300.0,24.4,-135267.0,-47293.0,-5213.0,margin_squeeze,0.5714,debt_overhang,0.2778,working_capital_erosion,0.2647,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2024-04-30,132400.0,2024-07-29,2024-07-29,2024-07-14,True,False,
AL00033,AS000173,ENT0006,2024-06-30,DAIRY,3,0.02978620724797924,0.821421930242021,1.0,0.5634,AMBER,AMBER>=0.38;RED>=0.58,30405.0,False,0.839,-1.4,0.83,8700.0,414.0,20600.0,-10.8,-17058.0,-5848.0,13347.0,margin_squeeze,1.0,working_capital_erosion,1.0,debt_overhang,0.5833,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2024-06-30,32200.0,2024-10-28,2024-10-28,2024-09-13,True,False,
AL00034,AS000175,ENT0006,2024-08-31,DAIRY,3,0.06114109625138389,0.026426114762998467,0.8737,0.508,AMBER,AMBER>=0.38;RED>=0.58,67063.0,False,0.854,4.8,1.2,57600.0,2738.0,25400.0,-12.4,-7759.0,27490.0,59304.0,debt_overhang,1.0,working_capital_erosion,0.7353,climate_shock,0.3143,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2024-08-31,24900.0,2024-09-30,2024-09-30,2024-11-14,True,False,
AL00035,AS000177,ENT0006,2024-10-31,DAIRY,3,0.27647657415676724,0.007858220007350402,0.4842,0.3907,AMBER,AMBER>=0.38;RED>=0.58,66117.0,False,0.858,11.3,1.38,65400.0,3109.0,23500.0,-7.7,-1493.0,30472.0,64624.0,working_capital_erosion,0.7353,debt_overhang,0.5833,,0.0,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2024-10-31,34100.0,2025-03-30,2025-03-30,2025-01-14,True,False,
AL00036,AS000179,ENT0006,2024-12-31,DAIRY,3,0.295414075642417,0.0012401851023585279,0.4526,0.3819,AMBER,AMBER>=0.38;RED>=0.58,44140.0,False,0.871,18.5,1.18,47600.0,2263.0,23700.0,13.2,-2644.0,8734.0,41496.0,debt_overhang,0.5833,demand_trough,0.3243,working_capital_erosion,0.2941,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2024-12-31,72900.0,2025-06-29,2025-06-29,2025-03-16,True,False,
AL00037,AS000182,ENT0006,2025-03-31,DAIRY,3,0.9172006859929995,0.9498954385651418,0.5368,0.708,RED,AMBER>=0.38;RED>=0.58,116478.0,False,0.88,17.5,1.15,9800.0,466.0,14000.0,17.5,-115804.0,-36395.0,674.0,demand_trough,0.5946,working_capital_erosion,0.2941,debt_overhang,0.2778,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2025-03-31,159100.0,2025-07-29,2025-07-29,2025-06-14,True,False,
AL00038,AS000184,ENT0006,2025-05-31,DAIRY,3,0.024386120231322236,0.9118152907253468,0.8421,0.4741,AMBER,AMBER>=0.38;RED>=0.58,122548.0,False,0.899,-1.6,1.28,10400.0,494.0,14500.0,-6.3,-101512.0,-25224.0,21036.0,margin_squeeze,1.0,working_capital_erosion,1.0,debt_overhang,0.3056,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2025-05-31,95400.0,2025-08-29,2025-08-29,2025-08-14,True,False,
AL00039,AS000186,ENT0006,2025-07-31,DAIRY,3,0.016410794479508124,0.07289938510807632,0.8105,0.4532,AMBER,AMBER>=0.38;RED>=0.58,68838.0,False,0.91,10.1,1.39,44900.0,2135.0,24200.0,-22.3,-14943.0,6665.0,53895.0,margin_squeeze,0.7429,working_capital_erosion,0.7353,debt_overhang,0.7222,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2025-07-31,25800.0,2025-08-30,2025-08-30,2025-10-14,True,False,
AL00040,AS000188,ENT0006,2025-09-30,DAIRY,3,0.048193184770165105,0.021913407946115716,0.6947,0.4038,AMBER,AMBER>=0.38;RED>=0.58,86396.0,False,0.921,9.6,1.13,38700.0,1840.0,13200.0,-38.3,-17756.0,50905.0,68640.0,working_capital_erosion,0.7353,receivable_stretch,0.3333,debt_overhang,0.3056,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2025-09-30,17600.0,2026-01-28,2026-01-28,2025-12-14,True,False,
AL00041,AS000194,ENT0006,2026-03-31,DAIRY,3,0.8626004518028525,0.00025208759356177115,0.2316,0.5156,AMBER,AMBER>=0.38;RED>=0.58,131993.0,False,0.944,30.7,2.12,12600.0,599.0,21800.0,30.7,-105109.0,-33547.0,26884.0,demand_trough,0.3243,climate_shock,0.2857,,0.0,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2026-03-31,139300.0,2026-08-28,2026-08-28,2026-06-14,True,False,
AL00042,AS000196,ENT0006,2026-05-31,DAIRY,3,0.05147517950442351,0.004493719977413368,1.0,0.5732,AMBER,AMBER>=0.38;RED>=0.58,75479.0,False,0.956,-0.1,2.07,22100.0,1051.0,9900.0,-4.7,-65361.0,-4169.0,10118.0,margin_squeeze,1.0,working_capital_erosion,1.0,receivable_stretch,0.3333,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2026-05-31,61500.0,2026-08-29,2026-08-29,2026-08-14,True,False,
AL00043,AS000198,ENT0006,2026-07-31,DAIRY,3,0.05212797478529845,0.00019073610358043714,0.6526,0.3824,AMBER,AMBER>=0.38;RED>=0.58,,False,0.97,17.1,3.4,39900.0,1897.0,31700.0,-8.3,,,,margin_squeeze,0.7429,working_capital_erosion,0.7353,debt_overhang,0.3056,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2026-07-31,45100.0,2026-08-30,2026-08-30,2026-10-14,True,False,
AL00044,AS000199,ENT0007,2023-11-30,RETAIL,3,0.04673589369220487,0.00048575246455856387,0.7684,0.4437,AMBER,AMBER>=0.38;RED>=0.58,93134.0,False,0.767,8.6,0.67,7300.0,347.0,38400.0,1.3,23299.0,40970.0,116433.0,debt_overhang,1.0,working_capital_erosion,0.7353,demand_trough,0.3243,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2023-11-30,15800.0,2024-03-29,2024-03-29,2024-02-13,True,False,
AL00045,AS000202,ENT0007,2024-02-29,RETAIL,3,0.8881838288420142,0.01713111783574744,0.5474,0.7008,RED,AMBER>=0.38;RED>=0.58,119018.0,False,0.776,19.6,1.35,31500.0,1498.0,27600.0,14.7,-57837.0,-13681.0,61181.0,debt_overhang,0.5833,receivable_stretch,0.3333,working_capital_erosion,0.2941,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2024-02-29,70800.0,2024-07-28,2024-07-28,2024-05-14,True,False,
AL00046,AS000204,ENT0007,2024-04-30,RETAIL,3,0.8495992183963444,0.005276783044855804,0.5474,0.6834,RED,AMBER>=0.38;RED>=0.58,121486.0,False,0.795,16.4,1.41,35200.0,1673.0,35500.0,12.0,-62646.0,-25760.0,58840.0,receivable_stretch,0.6364,debt_overhang,0.5833,working_capital_erosion,0.2941,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2024-04-30,81500.0,2024-09-27,2024-09-27,2024-07-14,True,False,
AL00047,AS000206,ENT0007,2024-06-30,RETAIL,3,0.035240549346311684,0.005338405670574044,1.0,0.5659,AMBER,AMBER>=0.38;RED>=0.58,72688.0,False,0.808,4.6,1.28,55700.0,2648.0,26800.0,0.6,-23616.0,-14834.0,49072.0,margin_squeeze,1.0,working_capital_erosion,1.0,receivable_stretch,0.6364,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2024-06-30,34000.0,2024-08-29,2024-08-29,2024-09-13,True,False,
AL00048,AS000208,ENT0007,2024-08-31,RETAIL,3,0.025355533607761285,0.0037712863034744105,1.0,0.5614,AMBER,AMBER>=0.38;RED>=0.58,83022.0,False,0.816,2.7,1.54,131500.0,6252.0,41400.0,-1.2,28477.0,29440.0,111499.0,working_capital_erosion,1.0,margin_squeeze,0.7429,receivable_stretch,0.6364,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2024-08-31,11100.0,2024-09-30,2024-09-30,2024-11-14,True,False,
AL00049,AS000210,ENT0007,2024-10-31,RETAIL,3,0.024126659621350542,0.0002607180482868912,0.9474,0.5319,AMBER,AMBER>=0.38;RED>=0.58,62085.0,False,0.836,4.4,1.61,217600.0,10345.0,64100.0,0.7,67608.0,71042.0,129693.0,working_capital_erosion,0.7353,receivable_stretch,0.6364,debt_overhang,0.5833,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2024-10-31,3000.0,2024-11-30,2024-11-30,2025-01-14,True,False,
AL00050,AS000216,ENT0007,2025-04-30,RETAIL,3,0.0171545886819029,3.857790970787443e-05,0.8947,0.4998,AMBER,AMBER>=0.38;RED>=0.58,113525.0,False,0.872,27.0,1.85,184400.0,8767.0,35900.0,27.0,-37033.0,32270.0,76492.0,climate_shock,1.0,receivable_stretch,0.6364,debt_overhang,0.2778,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2025-04-30,48700.0,2025-08-28,2025-08-28,2025-07-14,True,False,
AL00051,AS000218,ENT0007,2025-06-30,RETAIL,3,0.016204536555797688,2.543152916281652e-05,0.7895,0.4415,AMBER,AMBER>=0.38;RED>=0.58,122082.0,False,0.875,18.2,2.18,179300.0,8524.0,37200.0,18.2,-38564.0,32533.0,83518.0,margin_squeeze,1.0,receivable_stretch,0.6364,working_capital_erosion,0.5588,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2025-06-30,37200.0,2025-10-28,2025-10-28,2025-09-13,True,False,
AL00052,AS000220,ENT0007,2025-08-31,RETAIL,3,0.012635929106262081,5.041172479027941e-05,0.7053,0.3936,AMBER,AMBER>=0.38;RED>=0.58,63041.0,False,0.892,16.7,2.59,200300.0,9523.0,47500.0,16.7,61495.0,74615.0,124536.0,margin_squeeze,0.7429,receivable_stretch,0.6364,working_capital_erosion,0.2941,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2025-08-31,9500.0,2025-09-30,2025-09-30,2025-11-14,True,False,
