batch_id,enterprise_id,placed_on,realised_on,grow_days,chicks_placed,placement_cost,feed_on_dealer_credit,realisation,realisation_price
ENT0033-B20,ENT0033,2026-03-19,2026-04-30,42,107891,41520.0,95231.0,160761.0,85.98
ENT0033-B21,ENT0033,2026-05-09,2026-06-20,42,109814,47984.0,99265.0,163488.0,82.84
ENT0041-B01,ENT0041,2023-08-11,2023-09-22,42,45248,12186.0,27097.0,63430.0,97.32
ENT0041-B02,ENT0041,2023-09-30,2023-11-11,42,49079,11244.0,24183.0,125303.0,110.96
ENT0041-B03,ENT0041,2023-11-20,2024-01-01,42,39117,10225.0,23070.0,111845.0,110.07
ENT0041-B04,ENT0041,2024-01-08,2024-02-19,42,42983,9293.0,25158.0,105352.0,106.0
ENT0041-B05,ENT0041,2024-02-27,2024-04-09,42,42710,10813.0,26758.0,82952.0,89.82
ENT0041-B06,ENT0041,2024-04-19,2024-05-31,42,55821,10739.0,30500.0,87215.0,88.66
ENT0041-B07,ENT0041,2024-06-07,2024-07-19,42,44613,15909.0,33796.0,64867.0,90.9
ENT0041-B08,ENT0041,2024-07-26,2024-09-06,42,44595,13281.0,31428.0,85380.0,97.83
ENT0041-B09,ENT0041,2024-09-13,2024-10-25,42,49269,13803.0,29513.0,93824.0,105.91
ENT0041-B10,ENT0041,2024-11-04,2024-12-16,42,50576,13044.0,26086.0,122477.0,115.73
ENT0041-B11,ENT0041,2024-12-24,2025-02-04,42,45692,11289.0,27554.0,93282.0,110.13
ENT0041-B12,ENT0041,2025-02-14,2025-03-28,42,44699,12452.0,32247.0,86521.0,100.31
ENT0041-B13,ENT0041,2025-04-05,2025-05-17,42,49132,13743.0,35466.0,75308.0,84.2
ENT0041-B14,ENT0041,2025-05-25,2025-07-06,42,46760,15881.0,36488.0,61666.0,87.1
ENT0041-B15,ENT0041,2025-07-15,2025-08-26,42,43530,15518.0,33265.0,68175.0,92.67
ENT0041-B16,ENT0041,2025-09-03,2025-10-15,42,47988,11905.0,31052.0,113627.0,114.02
ENT0041-B17,ENT0041,2025-10-24,2025-12-05,42,41791,11121.0,28472.0,111158.0,123.32
ENT0041-B18,ENT0041,2025-12-14,2026-01-25,42,55157,10253.0,29131.0,148977.0,120.5
ENT0041-B19,ENT0041,2026-02-04,2026-03-18,42,50841,14300.0,31720.0,130302.0,106.6
ENT0041-B20,ENT0041,2026-03-25,2026-05-06,42,42606,15217.0,37119.0,73816.0,93.32
ENT0041-B21,ENT0041,2026-05-13,2026-06-24,42,45440,17696.0,41426.0,74849.0,88.76
ENT0045-B01,ENT0045,2023-08-08,2023-09-19,42,54330,14758.0,36526.0,105857.0,95.36
ENT0045-B02,ENT0045,2023-09-28,2023-11-09,42,75345,14631.0,32241.0,149787.0,105.01
ENT0045-B03,ENT0045,2023-11-16,2023-12-28,42,58762,13758.0,29632.0,156317.0,112.04
ENT0045-B04,ENT0045,2024-01-04,2024-02-15,42,52510,14769.0,31680.0,116205.0,102.22
ENT0045-B05,ENT0045,2024-02-25,2024-04-07,42,57037,12330.0,35419.0,98588.0,87.83
ENT0045-B06,ENT0045,2024-04-16,2024-05-28,42,60970,15270.0,39148.0,93785.0,84.69
ENT0045-B07,ENT0045,2024-06-05,2024-07-17,42,59392,16678.0,39999.0,77965.0,84.56
ENT0045-B08,ENT0045,2024-07-26,2024-09-06,42,55096,18220.0,40026.0,85190.0,98.12
ENT0045-B09,ENT0045,2024-09-14,2024-10-26,42,60296,14991.0,36622.0,108132.0,110.61
ENT0045-B10,ENT0045,2024-11-02,2024-12-14,42,49882,12925.0,34343.0,63279.0,108.39
ENT0045-B11,ENT0045,2024-12-24,2025-02-04,42,66766,14304.0,35816.0,140331.0,97.42
ENT0045-B12,ENT0045,2025-02-14,2025-03-28,42,62580,14181.0,37061.0,119494.0,89.93
ENT0045-B13,ENT0045,2025-04-05,2025-05-17,42,65051,15724.0,43122.0,89358.0,76.03
ENT0045-B14,ENT0045,2025-05-26,2025-07-07,42,68111,16384.0,46124.0,64312.0,76.18
ENT0045-B15,ENT0045,2025-07-16,2025-08-27,42,62184,20350.0,44835.0,74146.0,79.08
ENT0045-B16,ENT0045,2025-09-05,2025-10-17,42,50062,15793.0,40482.0,106672.0,96.26
ENT0045-B17,ENT0045,2025-10-27,2025-12-08,42,69649,18118.0,37206.0,129425.0,106.1
ENT0045-B18,ENT0045,2025-12-16,2026-01-27,42,58567,12649.0,35625.0,181992.0,108.12
ENT0045-B19,ENT0045,2026-02-05,2026-03-19,42,71416,16289.0,41791.0,112080.0,96.13
ENT0045-B20,ENT0045,2026-03-26,2026-05-07,42,64835,18058.0,47737.0,83081.0,82.92
ENT0045-B21,ENT0045,2026-05-17,2026-06-28,42,50318,20763.0,54151.0,85183.0,79.82
ENT0064-B01,ENT0064,2023-08-07,2023-09-18,42,105957,24391.0,58383.0,143501.0,93.83
ENT0064-B02,ENT0064,2023-09-26,2023-11-07,42,116815,23183.0,53089.0,296073.0,105.9
ENT0064-B03,ENT0064,2023-11-14,2023-12-26,42,87213,25257.0,52916.0,191828.0,107.22
ENT0064-B04,ENT0064,2024-01-02,2024-02-13,42,112656,24489.0,53009.0,261008.0,105.78
ENT0064-B05,ENT0064,2024-02-21,2024-04-03,42,80192,24286.0,56537.0,179111.0,93.69
ENT0064-B06,ENT0064,2024-04-13,2024-05-25,42,111497,25932.0,60880.0,178585.0,83.81
ENT0064-B07,ENT0064,2024-06-02,2024-07-14,42,85298,23905.0,65012.0,122193.0,83.99
ENT0064-B08,ENT0064,2024-07-24,2024-09-04,42,113986,27451.0,61940.0,196508.0,99.0
ENT0064-B09,ENT0064,2024-09-11,2024-10-23,42,96381,29227.0,57966.0,207631.0,110.82
ENT0064-B10,ENT0064,2024-11-01,2024-12-13,42,83755,25930.0,56809.0,249996.0,120.24
ENT0064-B11,ENT0064,2024-12-23,2025-02-03,42,126999,24188.0,53799.0,292344.0,114.38
ENT0064-B12,ENT0064,2025-02-10,2025-03-24,42,101729,26927.0,60816.0,174214.0,102.53
ENT0064-B13,ENT0064,2025-04-01,2025-05-13,42,103527,25859.0,67576.0,170658.0,87.29
ENT0064-B14,ENT0064,2025-05-20,2025-07-01,42,98436,26661.0,71197.0,144824.0,90.54
ENT0064-B15,ENT0064,2025-07-09,2025-08-20,42,100866,25172.0,70406.0,90319.0,97.37
ENT0064-B16,ENT0064,2025-08-30,2025-10-11,42,90278,32395.0,65773.0,202922.0,113.62
ENT0064-B17,ENT0064,2025-10-18,2025-11-29,42,116449,29406.0,59215.0,311040.0,118.52
ENT0064-B18,ENT0064,2025-12-08,2026-01-19,42,77752,27409.0,58255.0,199918.0,115.17
ENT0064-B19,ENT0064,2026-01-28,2026-03-11,42,105517,23945.0,66820.0,233557.0,105.01
ENT0064-B20,ENT0064,2026-03-18,2026-04-29,42,90610,32164.0,78770.0,174981.0,99.68
ENT0064-B21,ENT0064,2026-05-09,2026-06-20,42,101526,30985.0,82181.0,182585.0,90.79
ENT0075-B01,ENT0075,2023-08-09,2023-09-20,42,154302,52486.0,118921.0,228400.0,95.14
ENT0075-B02,ENT0075,2023-09-29,2023-11-10,42,147733,54924.0,113968.0,370729.0,108.87
ENT0075-B03,ENT0075,2023-11-20,2024-01-01,42,158566,39419.0,105328.0,448498.0,113.58
ENT0075-B04,ENT0075,2024-01-09,2024-02-20,42,155670,46395.0,105676.0,391193.0,107.58
ENT0075-B05,ENT0075,2024-03-01,2024-04-12,42,156131,46329.0,124183.0,262705.0,89.68
ENT0075-B06,ENT0075,2024-04-22,2024-06-03,42,150159,53079.0,132454.0,201522.0,79.43
ENT0075-B07,ENT0075,2024-06-13,2024-07-25,42,176379,48626.0,135982.0,216387.0,83.76
ENT0075-B08,ENT0075,2024-08-02,2024-09-13,42,180152,54314.0,125863.0,262784.0,102.56
ENT0075-B09,ENT0075,2024-09-20,2024-11-01,42,171773,46555.0,115310.0,430477.0,114.94
ENT0075-B10,ENT0075,2024-11-09,2024-12-21,42,177539,48585.0,107705.0,233235.0,100.31
ENT0075-B11,ENT0075,2024-12-30,2025-02-10,42,154473,43793.0,116736.0,301025.0,91.83
ENT0075-B12,ENT0075,2025-02-20,2025-04-03,42,139705,49869.0,127739.0,224360.0,81.07
ENT0075-B13,ENT0075,2025-04-11,2025-05-23,42,150841,62161.0,135037.0,283176.0,78.94
ENT0075-B14,ENT0075,2025-06-02,2025-07-14,42,150138,64872.0,141972.0,204256.0,80.46
ENT0075-B15,ENT0075,2025-07-21,2025-09-01,42,156150,55919.0,133497.0,229809.0,91.14
ENT0075-B16,ENT0075,2025-09-11,2025-10-23,42,145725,49577.0,121583.0,204830.0,98.74
ENT0075-B17,ENT0075,2025-10-30,2025-12-11,42,186303,55694.0,119025.0,438602.0,110.72
ENT0075-B18,ENT0075,2025-12-19,2026-01-30,42,186049,43049.0,114593.0,484805.0,108.8
ENT0075-B19,ENT0075,2026-02-06,2026-03-20,42,152992,48533.0,141123.0,320000.0,94.58
ENT0075-B20,ENT0075,2026-03-28,2026-05-09,42,196877,59119.0,157812.0,288169.0,84.13
ENT0075-B21,ENT0075,2026-05-19,2026-06-30,42,150016,60316.0,165760.0,212810.0,82.33
ENT0085-B01,ENT0085,2023-08-01,2023-09-12,42,68113,26040.0,59609.0,71500.0,95.9
ENT0085-B02,ENT0085,2023-09-22,2023-11-03,42,81838,27795.0,56065.0,165201.0,109.54
ENT0085-B03,ENT0085,2023-11-12,2023-12-24,42,91457,21697.0,53549.0,194474.0,113.7
ENT0085-B04,ENT0085,2024-01-03,2024-02-14,42,77368,25036.0,51881.0,188226.0,108.3
ENT0085-B05,ENT0085,2024-02-24,2024-04-06,42,74561,26176.0,62266.0,135011.0,89.35
ENT0085-B06,ENT0085,2024-04-16,2024-05-28,42,82986,25505.0,66131.0,127705.0,81.57
ENT0085-B07,ENT0085,2024-06-07,2024-07-19,42,76457,28016.0,67594.0,104993.0,85.04
ENT0085-B08,ENT0085,2024-07-27,2024-09-07,42,76615,25408.0,62234.0,118894.0,103.01
ENT0085-B09,ENT0085,2024-09-14,2024-10-26,42,75495,27126.0,58035.0,187636.0,107.94
ENT0085-B10,ENT0085,2024-11-03,2024-12-15,42,66877,25747.0,56801.0,85273.0,106.64
ENT0085-B11,ENT0085,2024-12-22,2025-02-02,42,65429,21583.0,55984.0,135681.0,92.69
ENT0085-B12,ENT0085,2025-02-10,2025-03-24,42,85406,23739.0,63970.0,132840.0,88.3
ENT0085-B13,ENT0085,2025-04-01,2025-05-13,42,63851,28943.0,65445.0,102341.0,76.48
ENT0085-B14,ENT0085,2025-05-22,2025-07-03,42,73220,30086.0,69539.0,93115.0,79.87
ENT0085-B15,ENT0085,2025-07-10,2025-08-21,42,83186,30526.0,70167.0,61238.0,85.51
ENT0085-B16,ENT0085,2025-08-30,2025-10-11,42,63532,30706.0,62259.0,141215.0,99.58
ENT0085-B17,ENT0085,2025-10-20,2025-12-01,42,66402,27320.0,58851.0,172989.0,107.99
ENT0085-B18,ENT0085,2025-12-08,2026-01-19,42,77393,21231.0,58955.0,198569.0,111.75
ENT0085-B19,ENT0085,2026-01-29,2026-03-12,42,75572,27406.0,66621.0,155178.0,96.57
ENT0085-B20,ENT0085,2026-03-22,2026-05-03,42,85575,29378.0,76348.0,116650.0,81.78
ENT0085-B21,ENT0085,2026-05-10,2026-06-21,42,82942,30558.0,83128.0,119383.0,82.82
ENT0104-B01,ENT0104,2023-08-03,2023-09-14,42,72446,26104.0,52858.0,81032.0,95.28
ENT0104-B02,ENT0104,2023-09-24,2023-11-05,42,84237,20015.0,47135.0,192004.0,105.24
ENT0104-B03,ENT0104,2023-11-12,2023-12-24,42,75532,20817.0,44150.0,174638.0,112.16
ENT0104-B04,ENT0104,2024-01-02,2024-02-13,42,73865,16342.0,46617.0,184151.0,102.07
ENT0104-B05,ENT0104,2024-02-22,2024-04-04,42,61961,18370.0,52368.0,105630.0,86.8
ENT0104-B06,ENT0104,2024-04-14,2024-05-26,42,74615,25412.0,55710.0,118828.0,84.89
ENT0104-B07,ENT0104,2024-06-05,2024-07-17,42,72263,25896.0,59009.0,109015.0,84.56
ENT0104-B08,ENT0104,2024-07-27,2024-09-07,42,63477,23237.0,59176.0,112537.0,98.54
ENT0104-B09,ENT0104,2024-09-16,2024-10-28,42,61746,25257.0,50726.0,162347.0,111.54
ENT0104-B10,ENT0104,2024-11-05,2024-12-17,42,75749,19327.0,50120.0,94582.0,106.32
ENT0104-B11,ENT0104,2024-12-27,2025-02-07,42,95256,19044.0,50746.0,186709.0,96.44
ENT0104-B12,ENT0104,2025-02-16,2025-03-30,42,83450,21183.0,56523.0,123319.0,90.33
ENT0104-B13,ENT0104,2025-04-07,2025-05-19,42,83438,24323.0,64477.0,111008.0,75.69
ENT0104-B14,ENT0104,2025-05-28,2025-07-09,42,90072,30610.0,66057.0,110835.0,75.77
ENT0104-B15,ENT0104,2025-07-17,2025-08-28,42,66419,31178.0,64724.0,91734.0,79.05
ENT0104-B16,ENT0104,2025-09-04,2025-10-16,42,71172,22668.0,59566.0,145105.0,96.46
ENT0104-B17,ENT0104,2025-10-23,2025-12-04,42,72675,22031.0,55545.0,188128.0,106.91
ENT0104-B18,ENT0104,2025-12-11,2026-01-22,42,73522,23162.0,55736.0,195891.0,108.54
ENT0104-B19,ENT0104,2026-01-30,2026-03-13,42,78805,25691.0,65672.0,136825.0,94.55
ENT0104-B20,ENT0104,2026-03-21,2026-05-02,42,60713,34051.0,80770.0,87171.0,82.78
ENT0104-B21,ENT0104,2026-05-09,2026-06-20,42,78933,34454.0,94678.0,105796.0,79.38
ENT0113-B01,ENT0113,2023-08-09,2023-09-20,42,29712,12626.0,27764.0,54067.0,95.86
ENT0113-B02,ENT0113,2023-09-29,2023-11-10,42,37210,12698.0,24374.0,94301.0,114.06
ENT0113-B03,ENT0113,2023-11-17,2023-12-29,42,39979,11173.0,24085.0,96182.0,116.44
ENT0113-B04,ENT0113,2024-01-08,2024-02-19,42,30799,11315.0,25095.0,71175.0,109.85
ENT0113-B05,ENT0113,2024-02-26,2024-04-08,42,35957,11013.0,27233.0,60811.0,93.54
ENT0113-B06,ENT0113,2024-04-18,2024-05-30,42,36968,13104.0,30945.0,60685.0,84.1
ENT0113-B07,ENT0113,2024-06-07,2024-07-19,42,30580,13309.0,32650.0,40597.0,85.0
ENT0113-B08,ENT0113,2024-07-28,2024-09-08,42,38675,13366.0,32335.0,67057.0,104.77
ENT0113-B09,ENT0113,2024-09-15,2024-10-27,42,28942,13828.0,28399.0,67702.0,112.37
ENT0113-B10,ENT0113,2024-11-04,2024-12-16,42,37923,9493.0,26271.0,100672.0,119.68
ENT0113-B11,ENT0113,2024-12-25,2025-02-05,42,33040,11722.0,28560.0,82170.0,109.24
ENT0113-B12,ENT0113,2025-02-13,2025-03-27,42,37395,13250.0,31819.0,71339.0,101.57
ENT0113-B13,ENT0113,2025-04-06,2025-05-18,42,44832,12362.0,34808.0,64159.0,91.72
ENT0113-B14,ENT0113,2025-05-25,2025-07-06,42,31941,13332.0,35108.0,53484.0,94.93
ENT0113-B15,ENT0113,2025-07-14,2025-08-25,42,40953,13333.0,34607.0,64751.0,97.8
ENT0113-B16,ENT0113,2025-09-01,2025-10-13,42,30508,11633.0,31218.0,73849.0,112.16
ENT0113-B17,ENT0113,2025-10-20,2025-12-01,42,37935,13137.0,30359.0,95009.0,118.8
ENT0113-B18,ENT0113,2025-12-08,2026-01-19,42,40390,11323.0,28994.0,107862.0,121.87
ENT0113-B19,ENT0113,2026-01-26,2026-03-09,42,31230,11663.0,31146.0,59473.0,107.54
ENT0113-B20,ENT0113,2026-03-19,2026-04-30,42,37286,11662.0,34494.0,81565.0,97.67
ENT0113-B21,ENT0113,2026-05-08,2026-06-19,42,31567,13617.0,38949.0,56872.0,90.89
ENT0119-B01,ENT0119,2023-08-04,2023-09-15,42,104072,36759.0,80393.0,111378.0,96.34
ENT0119-B02,ENT0119,2023-09-23,2023-11-04,42,125951,36188.0,73595.0,281267.0,115.54
ENT0119-B03,ENT0119,2023-11-14,2023-12-26,42,164060,34582.0,73138.0,405514.0,118.53
ENT0119-B04,ENT0119,2024-01-05,2024-02-16,42,123086,25601.0,70032.0,269061.0,106.83
ENT0119-B05,ENT0119,2024-02-26,2024-04-08,42,130459,26182.0,83389.0,236841.0,87.76
ENT0119-B06,ENT0119,2024-04-15,2024-05-27,42,124076,37582.0,87754.0,209917.0,86.33
ENT0119-B07,ENT0119,2024-06-06,2024-07-18,42,121734,41786.0,86983.0,157274.0,82.54
ENT0119-B08,ENT0119,2024-07-27,2024-09-07,42,132255,33768.0,89391.0,217859.0,97.49
ENT0119-B09,ENT0119,2024-09-17,2024-10-29,42,152774,31519.0,79527.0,291505.0,107.12
ENT0119-B10,ENT0119,2024-11-07,2024-12-19,42,139426,28989.0,75409.0,314329.0,116.9
ENT0119-B11,ENT0119,2024-12-27,2025-02-07,42,144374,31877.0,74475.0,348324.0,105.93
ENT0119-B12,ENT0119,2025-02-16,2025-03-30,42,126652,28856.0,84250.0,251997.0,97.76
ENT0119-B13,ENT0119,2025-04-06,2025-05-18,42,137048,43352.0,93929.0,221132.0,85.44
ENT0119-B14,ENT0119,2025-05-28,2025-07-09,42,159053,42579.0,98188.0,188950.0,86.31
ENT0119-B15,ENT0119,2025-07-17,2025-08-28,42,121246,45464.0,97767.0,211280.0,97.71
ENT0119-B16,ENT0119,2025-09-05,2025-10-17,42,119696,39512.0,89234.0,259443.0,116.74
ENT0119-B17,ENT0119,2025-10-27,2025-12-08,42,118282,41916.0,82540.0,364015.0,126.99
ENT0119-B18,ENT0119,2025-12-17,2026-01-28,42,118301,33863.0,83781.0,347989.0,121.59
ENT0119-B19,ENT0119,2026-02-04,2026-03-18,42,128820,43916.0,95272.0,280318.0,107.84
ENT0119-B20,ENT0119,2026-03-27,2026-05-08,42,118266,37137.0,107114.0,197773.0,93.13
ENT0119-B21,ENT0119,2026-05-17,2026-06-28,42,137406,39159.0,106679.0,216317.0,91.79
ENT0125-B01,ENT0125,2023-08-02,2023-09-13,42,21992,6004.0,13793.0,19185.0,95.78
ENT0125-B02,ENT0125,2023-09-23,2023-11-04,42,23307,6342.0,12774.0,47985.0,105.13
ENT0125-B03,ENT0125,2023-11-12,2023-12-24,42,19892,4290.0,11945.0,57953.0,112.16
ENT0125-B04,ENT0125,2023-12-31,2024-02-11,42,19596,5232.0,12639.0,45434.0,100.73
ENT0125-B05,ENT0125,2024-02-19,2024-04-01,42,22406,5315.0,13428.0,38311.0,86.61
ENT0125-B06,ENT0125,2024-04-09,2024-05-21,42,27088,6604.0,15337.0,32988.0,84.41
ENT0125-B07,ENT0125,2024-05-30,2024-07-11,42,23031,6387.0,16028.0,30917.0,84.11
ENT0125-B08,ENT0125,2024-07-18,2024-08-29,42,23370,6118.0,15907.0,19823.0,90.6
ENT0125-B09,ENT0125,2024-09-05,2024-10-17,42,19779,5601.0,14025.0,41969.0,111.16
