task_id,alert_id,enterprise_id,officer_id,assigned_on,priority_score,status
TK00029,AL00029,ENT0005,FO2,2026-01-04,0.4227,closed
TK00030,AL00030,ENT0005,FO2,2026-05-03,0.388,closed
TK00031,AL00031,ENT0006,FO3,2024-03-03,0.5344,closed
TK00032,AL00032,ENT0006,FO3,2024-05-01,0.6295,closed
TK00033,AL00033,ENT0006,FO3,2024-07-01,0.5634,open
TK00034,AL00034,ENT0006,FO3,2024-09-03,0.508,closed
TK00035,AL00035,ENT0006,FO3,2024-11-01,0.3907,closed
TK00036,AL00036,ENT0006,FO3,2025-01-04,0.3819,closed
TK00037,AL00037,ENT0006,FO3,2025-04-01,0.708,open
TK00038,AL00038,ENT0006,FO3,2025-06-04,0.4741,closed
TK00039,AL00039,ENT0006,FO3,2025-08-01,0.4532,closed
TK00040,AL00040,ENT0006,FO3,2025-10-01,0.4038,closed
TK00041,AL00041,ENT0006,FO3,2026-04-03,0.5156,closed
TK00042,AL00042,ENT0006,FO3,2026-06-02,0.5732,closed
TK00043,AL00043,ENT0006,FO3,2026-08-04,0.3824,closed
TK00044,AL00044,ENT0007,FO3,2023-12-04,0.4437,closed
TK00045,AL00045,ENT0007,FO3,2024-03-01,0.7008,open
TK00046,AL00046,ENT0007,FO3,2024-05-04,0.6834,open
TK00047,AL00047,ENT0007,FO3,2024-07-01,0.5659,open
TK00048,AL00048,ENT0007,FO3,2024-09-02,0.5614,closed
TK00049,AL00049,ENT0007,FO3,2024-11-01,0.5319,closed
TK00050,AL00050,ENT0007,FO3,2025-05-02,0.4998,closed
TK00051,AL00051,ENT0007,FO3,2025-07-03,0.4415,closed
TK00052,AL00052,ENT0007,FO3,2025-09-04,0.3936,open
TK00053,AL00053,ENT0008,FO6,2025-07-02,0.3821,closed
TK00054,AL00054,ENT0009,FO4,2023-12-03,0.5171,closed
TK00055,AL00055,ENT0010,FO2,2024-09-03,0.3879,closed
TK00056,AL00056,ENT0011,FO2,2023-12-02,0.6881,closed
TK00057,AL00057,ENT0011,FO2,2024-02-03,0.5292,closed
TK00058,AL00058,ENT0011,FO2,2025-03-04,0.4055,closed
TK00059,AL00059,ENT0012,FO4,2026-05-01,0.4111,closed
TK00060,AL00060,ENT0013,FO5,2023-12-02,0.4345,closed
TK00061,AL00061,ENT0014,FO1,2024-02-04,0.4123,open
TK00062,AL00062,ENT0015,FO5,2024-03-01,0.4047,closed
TK00063,AL00063,ENT0015,FO5,2024-05-01,0.4096,closed
TK00064,AL00064,ENT0016,FO6,2023-12-02,0.6581,closed
TK00065,AL00065,ENT0016,FO6,2024-02-01,0.5422,closed
TK00066,AL00066,ENT0016,FO6,2024-04-04,0.7493,closed
TK00067,AL00067,ENT0016,FO6,2024-07-01,0.4286,closed
TK00068,AL00068,ENT0016,FO6,2024-09-03,0.5344,closed
TK00069,AL00069,ENT0016,FO6,2024-12-02,0.4655,open
TK00070,AL00070,ENT0016,FO6,2025-03-02,0.4583,open
TK00071,AL00071,ENT0017,FO5,2024-06-01,0.3974,closed
TK00072,AL00072,ENT0017,FO5,2026-06-02,0.402,closed
TK00073,AL00073,ENT0018,FO5,2025-08-03,0.4343,closed
TK00074,AL00074,ENT0019,FO3,2025-05-04,0.4503,closed
TK00075,AL00075,ENT0019,FO3,2025-08-02,0.4243,closed
TK00076,AL00076,ENT0019,FO3,2026-06-01,0.5293,closed
TK00077,AL00077,ENT0020,FO5,2023-12-03,0.4401,closed
TK00078,AL00078,ENT0020,FO5,2024-02-02,0.4694,closed
TK00079,AL00079,ENT0020,FO5,2026-05-01,0.4111,closed
TK00080,AL00080,ENT0022,FO1,2024-04-04,0.5489,open
TK00081,AL00081,ENT0022,FO1,2024-06-02,0.6641,closed
TK00082,AL00082,ENT0022,FO1,2025-05-02,0.4204,open
TK00083,AL00083,ENT0022,FO1,2025-07-01,0.3911,closed
TK00084,AL00084,ENT0022,FO1,2026-04-03,0.6468,closed
TK00085,AL00085,ENT0022,FO1,2026-06-04,0.6038,closed
TK00086,AL00086,ENT0023,FO4,2024-07-01,0.3823,open
TK00087,AL00087,ENT0023,FO4,2025-09-02,0.3822,closed
TK00088,AL00088,ENT0024,FO3,2025-05-03,0.501,closed
TK00089,AL00089,ENT0025,FO3,2025-05-02,0.4343,open
TK00090,AL00090,ENT0026,FO6,2023-12-04,0.4326,closed
TK00091,AL00091,ENT0026,FO6,2026-05-03,0.4748,closed
TK00092,AL00092,ENT0027,FO6,2025-07-04,0.4342,closed
TK00093,AL00093,ENT0028,FO2,2024-03-01,0.573,open
TK00094,AL00094,ENT0028,FO2,2024-05-01,0.7205,open
TK00095,AL00095,ENT0028,FO2,2024-07-04,0.4705,closed
TK00096,AL00096,ENT0028,FO2,2025-04-03,0.5588,closed
TK00097,AL00097,ENT0028,FO2,2025-06-04,0.5543,open
TK00098,AL00098,ENT0028,FO2,2025-08-04,0.5225,closed
TK00099,AL00099,ENT0028,FO2,2026-04-04,0.6884,closed
TK00100,AL00100,ENT0028,FO2,2026-06-02,0.4283,open
TK00101,AL00101,ENT0028,FO2,2026-08-01,0.3801,closed
TK00102,AL00102,ENT0029,FO4,2026-07-02,0.3827,closed
TK00103,AL00103,ENT0030,FO1,2024-04-03,0.8183,closed
TK00104,AL00104,ENT0030,FO1,2024-06-01,0.7279,open
TK00105,AL00105,ENT0030,FO1,2024-08-01,0.4667,closed
TK00106,AL00106,ENT0030,FO1,2026-05-04,0.7458,closed
TK00107,AL00107,ENT0031,FO1,2024-04-01,0.5814,closed
TK00108,AL00108,ENT0031,FO1,2024-06-03,0.7288,closed
TK00109,AL00109,ENT0031,FO1,2025-04-01,0.383,closed
TK00110,AL00110,ENT0031,FO1,2025-06-02,0.642,closed
TK00111,AL00111,ENT0031,FO1,2025-08-03,0.481,closed
TK00112,AL00112,ENT0031,FO1,2025-10-01,0.4468,open
TK00113,AL00113,ENT0031,FO1,2025-12-01,0.4009,closed
TK00114,AL00114,ENT0031,FO1,2026-03-03,0.6556,closed
TK00115,AL00115,ENT0031,FO1,2026-05-02,0.6108,closed
TK00116,AL00116,ENT0031,FO1,2026-07-03,0.4821,open
TK00117,AL00117,ENT0032,FO6,2025-09-03,0.3822,closed
TK00118,AL00118,ENT0033,FO6,2024-07-03,0.3826,open
TK00119,AL00119,ENT0033,FO6,2025-05-01,0.73,open
TK00120,AL00120,ENT0033,FO6,2025-07-03,0.6314,closed
TK00121,AL00121,ENT0033,FO6,2025-09-02,0.5397,closed
TK00122,AL00122,ENT0033,FO6,2025-11-03,0.5703,closed
TK00123,AL00123,ENT0033,FO6,2026-05-01,0.4619,closed
TK00124,AL00124,ENT0033,FO6,2026-07-04,0.5627,closed
TK00125,AL00125,ENT0034,FO6,2023-12-01,0.7421,closed
TK00126,AL00126,ENT0034,FO6,2024-02-03,0.4341,open
TK00127,AL00127,ENT0034,FO6,2024-04-03,0.4079,open
TK00128,AL00128,ENT0034,FO6,2024-06-02,0.7173,closed
TK00129,AL00129,ENT0034,FO6,2024-08-04,0.606,closed
TK00130,AL00130,ENT0034,FO6,2024-11-02,0.3913,closed
TK00131,AL00131,ENT0034,FO6,2025-04-04,0.3884,closed
TK00132,AL00132,ENT0034,FO6,2025-06-02,0.4,closed
TK00133,AL00133,ENT0035,FO4,2023-12-01,0.6182,closed
TK00134,AL00134,ENT0035,FO4,2024-02-01,0.4231,closed
TK00135,AL00135,ENT0035,FO4,2024-07-02,0.4012,closed
TK00136,AL00136,ENT0035,FO4,2024-09-02,0.4703,open
TK00137,AL00137,ENT0035,FO4,2024-11-03,0.4573,closed
TK00138,AL00138,ENT0035,FO4,2025-01-04,0.4091,closed
TK00139,AL00139,ENT0035,FO4,2026-05-01,0.498,closed
TK00140,AL00140,ENT0036,FO5,2024-02-01,0.4795,closed
TK00141,AL00141,ENT0036,FO5,2024-07-03,0.486,closed
TK00142,AL00142,ENT0036,FO5,2024-09-01,0.4139,open
TK00143,AL00143,ENT0036,FO5,2025-07-03,0.5026,closed
TK00144,AL00144,ENT0036,FO5,2025-10-02,0.4413,closed
TK00145,AL00145,ENT0036,FO5,2026-01-01,0.4284,open
TK00146,AL00146,ENT0037,FO2,2023-12-03,0.5038,open
TK00147,AL00147,ENT0037,FO2,2024-08-02,0.6333,closed
TK00148,AL00148,ENT0037,FO2,2024-10-02,0.4951,closed
TK00149,AL00149,ENT0037,FO2,2025-01-03,0.4292,open
TK00150,AL00150,ENT0037,FO2,2025-05-02,0.4461,closed
TK00151,AL00151,ENT0037,FO2,2026-04-03,0.4806,closed
TK00152,AL00152,ENT0038,FO4,2024-03-03,0.4763,open
TK00153,AL00153,ENT0038,FO4,2024-05-02,0.7406,closed
TK00154,AL00154,ENT0038,FO4,2024-07-01,0.4903,closed
TK00155,AL00155,ENT0038,FO4,2025-04-04,0.4677,closed
TK00156,AL00156,ENT0038,FO4,2025-06-04,0.465,closed
TK00157,AL00157,ENT0038,FO4,2026-05-02,0.5516,closed
TK00158,AL00158,ENT0038,FO4,2026-07-02,0.5255,closed
TK00159,AL00159,ENT0039,FO4,2023-12-02,0.588,closed
TK00160,AL00160,ENT0039,FO4,2024-02-01,0.5075,closed
TK00161,AL00161,ENT0039,FO4,2024-07-03,0.5578,closed
TK00162,AL00162,ENT0039,FO4,2024-09-01,0.3817,open
TK00163,AL00163,ENT0039,FO4,2024-11-02,0.4494,closed
TK00164,AL00164,ENT0039,FO4,2025-09-04,0.4264,closed
TK00165,AL00165,ENT0040,FO5,2023-12-04,0.5151,closed
TK00166,AL00166,ENT0040,FO5,2024-02-04,0.561,open
TK00167,AL00167,ENT0040,FO5,2024-04-04,0.4601,open
TK00168,AL00168,ENT0041,FO2,2025-05-04,0.3841,open
TK00169,AL00169,ENT0041,FO2,2025-09-04,0.4825,closed
TK00170,AL00170,ENT0041,FO2,2026-07-01,0.4557,closed
TK00171,AL00171,ENT0042,FO4,2024-06-01,0.4127,closed
TK00172,AL00172,ENT0045,FO3,2025-05-02,0.3963,open
TK00173,AL00173,ENT0045,FO3,2025-09-01,0.3828,closed
TK00174,AL00174,ENT0045,FO3,2026-07-03,0.4432,closed
TK00175,AL00175,ENT0047,FO2,2024-09-04,0.4406,open
TK00176,AL00176,ENT0048,FO4,2023-12-04,0.7474,open
TK00177,AL00177,ENT0048,FO4,2024-02-02,0.4758,closed
TK00178,AL00178,ENT0048,FO4,2024-08-04,0.5493,closed
TK00179,AL00179,ENT0048,FO4,2026-05-03,0.3824,closed
TK00180,AL00180,ENT0049,FO5,2023-12-03,0.5439,closed
TK00181,AL00181,ENT0049,FO5,2024-09-04,0.4682,closed
TK00182,AL00182,ENT0049,FO5,2024-12-01,0.5052,closed
TK00183,AL00183,ENT0050,FO6,2023-12-02,0.509,closed
TK00184,AL00184,ENT0050,FO6,2024-02-01,0.4818,open
TK00185,AL00185,ENT0050,FO6,2024-04-02,0.4056,open
TK00186,AL00186,ENT0051,FO2,2023-12-01,0.4781,open
TK00187,AL00187,ENT0051,FO2,2026-01-03,0.458,open
TK00188,AL00188,ENT0051,FO2,2026-05-04,0.3943,closed
TK00189,AL00189,ENT0051,FO2,2026-07-04,0.4518,open
TK00190,AL00190,ENT0054,FO4,2024-03-03,0.5312,closed
TK00191,AL00191,ENT0054,FO4,2024-05-03,0.8393,closed
TK00192,AL00192,ENT0054,FO4,2024-07-02,0.573,closed
TK00193,AL00193,ENT0054,FO4,2026-05-03,0.5369,closed
TK00194,AL00194,ENT0054,FO4,2026-07-01,0.3821,closed
TK00195,AL00195,ENT0055,FO5,2023-12-03,0.7265,closed
TK00196,AL00196,ENT0055,FO5,2024-02-01,0.5717,closed
TK00197,AL00197,ENT0056,FO1,2024-09-03,0.3879,closed
TK00198,AL00198,ENT0056,FO1,2025-08-02,0.3821,closed
TK00199,AL00199,ENT0056,FO1,2026-07-02,0.3821,open
TK00200,AL00200,ENT0057,FO3,2025-05-04,0.469,closed
TK00201,AL00201,ENT0058,FO1,2026-05-02,0.469,closed
TK00202,AL00202,ENT0059,FO3,2025-05-01,0.5269,closed
TK00203,AL00203,ENT0060,FO4,2024-07-03,0.3821,closed
TK00204,AL00204,ENT0060,FO4,2026-07-04,0.3821,closed
TK00205,AL00205,ENT0061,FO4,2024-07-01,0.3821,closed
TK00206,AL00206,ENT0061,FO4,2025-11-02,0.3995,closed
TK00207,AL00207,ENT0061,FO4,2026-07-01,0.4921,open
TK00208,AL00208,ENT0062,FO5,2026-05-03,0.3855,closed
TK00209,AL00209,ENT0062,FO5,2026-07-02,0.4404,closed
TK00210,AL00210,ENT0064,FO5,2025-05-03,0.382,closed
TK00211,AL00211,ENT0064,FO5,2026-05-03,0.4411,open
TK00212,AL00212,ENT0065,FO4,2023-12-03,0.4227,closed
TK00213,AL00213,ENT0065,FO4,2024-03-03,0.5771,closed
TK00214,AL00214,ENT0065,FO4,2024-05-02,0.5925,closed
TK00215,AL00215,ENT0065,FO4,2025-05-03,0.5212,open
TK00216,AL00216,ENT0065,FO4,2026-05-03,0.4053,closed
TK00217,AL00217,ENT0066,FO1,2024-03-03,0.4336,closed
TK00218,AL00218,ENT0066,FO1,2024-05-03,0.6907,open
TK00219,AL00219,ENT0066,FO1,2024-07-01,0.4123,closed
TK00220,AL00220,ENT0066,FO1,2025-04-02,0.4837,closed
TK00221,AL00221,ENT0066,FO1,2025-06-03,0.5369,closed
TK00222,AL00222,ENT0066,FO1,2026-03-04,0.5542,closed
TK00223,AL00223,ENT0066,FO1,2026-05-02,0.8624,closed
TK00224,AL00224,ENT0066,FO1,2026-07-03,0.5261,open
TK00225,AL00225,ENT0067,FO2,2023-12-04,0.4756,open
TK00226,AL00226,ENT0067,FO2,2024-02-01,0.5794,closed
TK00227,AL00227,ENT0067,FO2,2024-04-02,0.6349,closed
TK00228,AL00228,ENT0067,FO2,2024-06-04,0.8249,closed
TK00229,AL00229,ENT0067,FO2,2024-08-04,0.5753,closed
TK00230,AL00230,ENT0067,FO2,2024-10-04,0.462,closed
TK00231,AL00231,ENT0067,FO2,2024-12-04,0.6837,closed
TK00232,AL00232,ENT0067,FO2,2025-02-02,0.8021,open
TK00233,AL00233,ENT0067,FO2,2025-05-01,0.6348,closed
TK00234,AL00234,ENT0067,FO2,2025-07-02,0.7965,open
TK00235,AL00235,ENT0067,FO2,2025-09-01,0.4595,closed
TK00236,AL00236,ENT0067,FO2,2025-11-02,0.5531,open
TK00237,AL00237,ENT0067,FO2,2026-01-01,0.5544,closed
TK00238,AL00238,ENT0067,FO2,2026-05-01,0.4489,closed
TK00239,AL00239,ENT0068,FO6,2025-08-03,0.4342,closed
TK00240,AL00240,ENT0069,FO2,2023-12-03,0.5401,open
TK00241,AL00241,ENT0069,FO2,2025-03-04,0.4516,closed
TK00242,AL00242,ENT0071,FO2,2025-07-01,0.3827,closed
TK00243,AL00243,ENT0071,FO2,2025-09-03,0.3823,closed
TK00244,AL00244,ENT0072,FO6,2023-12-02,0.6497,closed
TK00245,AL00245,ENT0073,FO3,2023-12-04,0.7771,closed
TK00246,AL00246,ENT0073,FO3,2024-05-04,0.4346,closed
TK00247,AL00247,ENT0073,FO3,2025-05-04,0.4111,closed
TK00248,AL00248,ENT0074,FO3,2023-12-03,0.4659,closed
TK00249,AL00249,ENT0074,FO3,2025-05-02,0.4111,closed
TK00250,AL00250,ENT0074,FO3,2026-05-01,0.4111,closed
TK00251,AL00251,ENT0075,FO6,2025-05-04,0.8408,closed
TK00252,AL00252,ENT0075,FO6,2025-07-01,0.7766,closed
TK00253,AL00253,ENT0075,FO6,2025-09-03,0.4027,closed
TK00254,AL00254,ENT0075,FO6,2025-11-02,0.3812,open
TK00255,AL00255,ENT0075,FO6,2026-05-01,0.3978,closed
TK00256,AL00256,ENT0075,FO6,2026-07-02,0.401,closed
TK00257,AL00257,ENT0076,FO5,2023-12-02,0.5664,open
TK00258,AL00258,ENT0076,FO5,2024-02-03,0.7202,closed
TK00259,AL00259,ENT0076,FO5,2024-04-02,0.7427,closed
TK00260,AL00260,ENT0076,FO5,2024-06-01,0.4325,closed
TK00261,AL00261,ENT0076,FO5,2024-08-02,0.3963,closed
TK00262,AL00262,ENT0076,FO5,2024-12-03,0.4606,closed
TK00263,AL00263,ENT0076,FO5,2026-01-02,0.4288,closed
TK00264,AL00264,ENT0077,FO5,2023-12-01,0.3854,closed
TK00265,AL00265,ENT0077,FO5,2025-03-04,0.4574,open
TK00266,AL00266,ENT0077,FO5,2025-05-03,0.388,closed
TK00267,AL00267,ENT0079,FO2,2023-12-01,0.6219,closed
TK00268,AL00268,ENT0079,FO2,2024-02-04,0.4703,closed
TK00269,AL00269,ENT0080,FO3,2024-04-02,0.5649,closed
TK00270,AL00270,ENT0080,FO3,2024-06-04,0.4184,closed
TK00271,AL00271,ENT0080,FO3,2024-08-03,0.5315,closed
TK00272,AL00272,ENT0080,FO3,2025-03-02,0.4508,closed
TK00273,AL00273,ENT0080,FO3,2025-05-02,0.6499,closed
TK00274,AL00274,ENT0080,FO3,2025-07-04,0.556,closed
TK00275,AL00275,ENT0080,FO3,2025-10-02,0.3877,closed
TK00276,AL00276,ENT0080,FO3,2026-01-02,0.4991,closed
TK00277,AL00277,ENT0080,FO3,2026-04-01,0.8305,closed
TK00278,AL00278,ENT0080,FO3,2026-06-01,0.58,closed
TK00279,AL00279,ENT0081,FO4,2024-05-02,0.6561,closed
TK00280,AL00280,ENT0081,FO4,2024-07-01,0.505,open
TK00281,AL00281,ENT0081,FO4,2024-09-02,0.4001,closed
TK00282,AL00282,ENT0081,FO4,2026-05-02,0.7316,open
TK00283,AL00283,ENT0081,FO4,2026-07-04,0.4616,closed
TK00284,AL00284,ENT0082,FO4,2024-06-04,0.4431,closed
TK00285,AL00285,ENT0082,FO4,2026-05-04,0.4171,open
TK00286,AL00286,ENT0083,FO1,2023-12-03,0.5395,closed
TK00287,AL00287,ENT0083,FO1,2024-02-02,0.7638,closed
TK00288,AL00288,ENT0083,FO1,2024-04-02,0.4218,closed
TK00289,AL00289,ENT0083,FO1,2024-06-03,0.5143,closed
TK00290,AL00290,ENT0083,FO1,2026-05-03,0.5211,open
TK00291,AL00291,ENT0084,FO4,2024-01-04,0.4214,closed
TK00292,AL00292,ENT0084,FO4,2026-05-02,0.388,closed
TK00293,AL00293,ENT0085,FO6,2025-03-01,0.4073,closed
TK00294,AL00294,ENT0085,FO6,2025-05-04,0.7694,closed
TK00295,AL00295,ENT0085,FO6,2025-07-02,0.5438,closed
TK00296,AL00296,ENT0085,FO6,2025-09-03,0.4664,closed
TK00297,AL00297,ENT0085,FO6,2025-12-02,0.4911,closed
TK00298,AL00298,ENT0085,FO6,2026-03-01,0.6041,closed
TK00299,AL00299,ENT0085,FO6,2026-05-03,0.6566,closed
TK00300,AL00300,ENT0085,FO6,2026-07-02,0.5523,closed
TK00301,AL00301,ENT0086,FO1,2024-04-03,0.7309,closed
TK00302,AL00302,ENT0086,FO1,2024-06-02,0.72,closed
TK00303,AL00303,ENT0086,FO1,2024-08-01,0.3939,open
TK00304,AL00304,ENT0086,FO1,2025-07-02,0.3864,closed
TK00305,AL00305,ENT0086,FO1,2026-05-01,0.5225,open
TK00306,AL00306,ENT0087,FO1,2024-03-01,0.4445,open
TK00307,AL00307,ENT0087,FO1,2024-05-03,0.7868,closed
TK00308,AL00308,ENT0087,FO1,2024-07-03,0.467,closed
TK00309,AL00309,ENT0087,FO1,2025-06-04,0.4007,closed
TK00310,AL00310,ENT0087,FO1,2026-05-03,0.4883,closed
TK00311,AL00311,ENT0087,FO1,2026-07-01,0.4016,closed
TK00312,AL00312,ENT0089,FO2,2024-03-02,0.5175,closed
TK00313,AL00313,ENT0089,FO2,2024-05-02,0.5541,closed
TK00314,AL00314,ENT0089,FO2,2024-07-01,0.4689,closed
TK00315,AL00315,ENT0089,FO2,2024-09-04,0.4281,closed
TK00316,AL00316,ENT0089,FO2,2025-03-02,0.4175,closed
TK00317,AL00317,ENT0089,FO2,2025-05-03,0.7359,closed
TK00318,AL00318,ENT0089,FO2,2025-07-02,0.4594,open
TK00319,AL00319,ENT0089,FO2,2025-09-04,0.5018,open
TK00320,AL00320,ENT0089,FO2,2026-04-03,0.6418,open
TK00321,AL00321,ENT0089,FO2,2026-06-04,0.6038,closed
TK00322,AL00322,ENT0089,FO2,2026-08-04,0.4218,closed
TK00323,AL00323,ENT0090,FO4,2023-12-01,0.4619,open
TK00324,AL00324,ENT0090,FO4,2026-05-02,0.5211,closed
TK00325,AL00325,ENT0091,FO4,2024-03-01,0.6202,open
TK00326,AL00326,ENT0091,FO4,2024-05-04,0.7342,closed
TK00327,AL00327,ENT0091,FO4,2024-07-01,0.5686,closed
TK00328,AL00328,ENT0091,FO4,2025-04-02,0.5751,closed
TK00329,AL00329,ENT0091,FO4,2025-06-01,0.4676,closed
TK00330,AL00330,ENT0091,FO4,2025-08-01,0.4994,open
TK00331,AL00331,ENT0091,FO4,2026-04-03,0.5314,open
TK00332,AL00332,ENT0091,FO4,2026-06-02,0.5543,closed
TK00333,AL00333,ENT0091,FO4,2026-08-01,0.5402,closed
TK00334,AL00334,ENT0093,FO5,2025-10-03,0.4347,closed
TK00335,AL00335,ENT0094,FO5,2023-12-04,0.421,closed
TK00336,AL00336,ENT0094,FO5,2024-02-03,0.4536,closed
TK00337,AL00337,ENT0094,FO5,2024-04-02,0.4619,open
TK00338,AL00338,ENT0094,FO5,2024-06-03,0.3828,open
TK00339,AL00339,ENT0094,FO5,2025-05-04,0.4057,open
TK00340,AL00340,ENT0094,FO5,2026-05-04,0.4632,closed
TK00341,AL00341,ENT0095,FO4,2024-06-02,0.3971,closed
TK00342,AL00342,ENT0095,FO4,2025-05-02,0.4361,closed
TK00343,AL00343,ENT0095,FO4,2026-05-03,0.4594,closed
TK00344,AL00344,ENT0095,FO4,2026-07-03,0.3863,closed
TK00345,AL00345,ENT0096,FO1,2025-07-03,0.3821,closed
TK00346,AL00346,ENT0098,FO4,2024-07-03,0.4342,closed
TK00347,AL00347,ENT0098,FO4,2025-08-01,0.4342,open
TK00348,AL00348,ENT0098,FO4,2025-10-01,0.4342,closed
TK00349,AL00349,ENT0098,FO4,2026-07-01,0.3822,closed
TK00350,AL00350,ENT0099,FO4,2024-07-03,0.3821,open
TK00351,AL00351,ENT0099,FO4,2025-11-02,0.3995,open
TK00352,AL00352,ENT0099,FO4,2026-07-03,0.3825,open
TK00353,AL00353,ENT0100,FO5,2023-12-01,0.5511,closed
TK00354,AL00354,ENT0100,FO5,2024-02-02,0.6458,open
TK00355,AL00355,ENT0100,FO5,2024-04-04,0.43,open
TK00356,AL00356,ENT0100,FO5,2024-06-04,0.4598,closed
TK00357,AL00357,ENT0101,FO6,2023-12-04,0.452,closed
TK00358,AL00358,ENT0101,FO6,2025-03-03,0.5165,closed
TK00359,AL00359,ENT0102,FO6,2025-08-04,0.3821,closed
TK00360,AL00360,ENT0104,FO3,2024-01-02,0.3872,closed
TK00361,AL00361,ENT0104,FO3,2024-05-04,0.4738,closed
TK00362,AL00362,ENT0104,FO3,2024-07-02,0.4735,open
TK00363,AL00363,ENT0104,FO3,2024-09-03,0.7568,closed
TK00364,AL00364,ENT0104,FO3,2024-11-03,0.4524,closed
TK00365,AL00365,ENT0104,FO3,2025-01-03,0.4359,closed
TK00366,AL00366,ENT0104,FO3,2025-04-03,0.6138,closed
TK00367,AL00367,ENT0104,FO3,2025-06-04,0.6672,closed
TK00368,AL00368,ENT0104,FO3,2025-08-01,0.5468,open
TK00369,AL00369,ENT0104,FO3,2025-10-01,0.5732,closed
TK00370,AL00370,ENT0104,FO3,2025-12-03,0.4359,closed
TK00371,AL00371,ENT0104,FO3,2026-03-03,0.6212,closed
TK00372,AL00372,ENT0104,FO3,2026-05-02,0.6039,closed
TK00373,AL00373,ENT0104,FO3,2026-07-02,0.5499,open
TK00374,AL00374,ENT0105,FO5,2023-12-04,0.4071,closed
TK00375,AL00375,ENT0106,FO5,2025-09-01,0.4343,open
TK00376,AL00376,ENT0107,FO1,2024-03-02,0.5316,closed
TK00377,AL00377,ENT0107,FO1,2024-05-01,0.853,open
TK00378,AL00378,ENT0107,FO1,2024-07-03,0.5395,closed
TK00379,AL00379,ENT0107,FO1,2024-09-03,0.4826,open
TK00380,AL00380,ENT0107,FO1,2025-02-04,0.3965,closed
TK00381,AL00381,ENT0107,FO1,2025-05-03,0.6084,closed
TK00382,AL00382,ENT0107,FO1,2025-07-02,0.4681,closed
TK00383,AL00383,ENT0107,FO1,2025-10-04,0.3854,closed
TK00384,AL00384,ENT0107,FO1,2026-03-04,0.4557,closed
TK00385,AL00385,ENT0107,FO1,2026-05-02,0.8562,closed
TK00386,AL00386,ENT0107,FO1,2026-07-02,0.4696,open
TK00387,AL00387,ENT0108,FO3,2025-05-03,0.4256,closed
TK00388,AL00388,ENT0108,FO3,2025-08-03,0.4416,closed
TK00389,AL00389,ENT0108,FO3,2026-05-02,0.6179,closed
TK00390,AL00390,ENT0108,FO3,2026-07-02,0.5588,closed
TK00391,AL00391,ENT0109,FO1,2023-12-02,0.6432,closed
TK00392,AL00392,ENT0109,FO1,2024-02-01,0.5215,closed
TK00393,AL00393,ENT0109,FO1,2024-04-02,0.4296,closed
TK00394,AL00394,ENT0109,FO1,2024-06-04,0.4309,closed
TK00395,AL00395,ENT0109,FO1,2026-05-02,0.5211,closed
TK00396,AL00396,ENT0111,FO5,2023-12-01,0.704,open
TK00397,AL00397,ENT0111,FO5,2024-02-04,0.5683,open
TK00398,AL00398,ENT0111,FO5,2024-04-01,0.6321,closed
TK00399,AL00399,ENT0111,FO5,2024-06-01,0.6942,closed
TK00400,AL00400,ENT0111,FO5,2024-08-01,0.5684,closed
TK00401,AL00401,ENT0111,FO5,2024-10-04,0.5903,closed
