loan_id,enterprise_id,lender,principal,annual_rate_bps,tenor_months,disbursed_on,scheme_id
LN01211,ENT0121,Kolhapur DCCB,70000.0,1650,30,2022-04-21,SB01
LN01212,ENT0121,Odisha Gramya Bank,155000.0,950,18,2025-02-14,SB01
LN01221,ENT0122,Sanchay NBFC,200000.0,1050,18,2022-04-21,
LN01251,ENT0125,Anand DCCB,62000.0,1650,12,2022-08-28,
LN01261,ENT0126,Assam Gramin VB,30000.0,950,24,2022-05-02,
LN01271,ENT0127,Anand DCCB,630000.0,1150,12,2022-08-16,SB04
LN01272,ENT0127,Anand DCCB,509000.0,1650,24,2024-07-07,SB04
LN01281,ENT0128,Bhilwara SFB,226000.0,950,48,2023-04-23,
LN01282,ENT0128,Anand DCCB,388000.0,1650,36,2025-01-30,
LN01291,ENT0129,Sanchay NBFC,900000.0,1050,12,2022-04-14,SB04
LN01301,ENT0130,Anand DCCB,297000.0,1150,24,2022-12-02,
LN01311,ENT0131,Sanchay NBFC,688000.0,950,48,2023-02-08,
LN01321,ENT0132,Sanchay NBFC,199000.0,1650,30,2023-03-17,
LN01322,ENT0132,Kolhapur DCCB,295000.0,1650,30,2025-08-17,
LN01341,ENT0134,Bhilwara SFB,228000.0,1250,24,2022-07-12,SB04
LN01342,ENT0134,Odisha Gramya Bank,184000.0,2100,12,2024-07-30,SB04
LN01361,ENT0136,Nizamabad RRB,78000.0,1650,30,2023-02-18,SB01
LN01381,ENT0138,Nizamabad RRB,88000.0,1650,18,2023-07-14,
LN01391,ENT0139,Odisha Gramya Bank,102000.0,1150,36,2022-12-12,
LN01401,ENT0140,Sanchay NBFC,43000.0,950,36,2023-05-10,
LN01411,ENT0141,Bhilwara SFB,127000.0,1150,30,2022-05-01,
LN01421,ENT0142,Sanchay NBFC,54000.0,1150,36,2022-10-20,SB04
LN01431,ENT0143,Assam Gramin VB,39000.0,1650,48,2023-07-10,
LN01441,ENT0144,Kolhapur DCCB,115000.0,1050,24,2023-01-29,SB01
LN01461,ENT0146,Anand DCCB,253000.0,1650,60,2023-01-14,SB04
LN01481,ENT0148,Nizamabad RRB,215000.0,1150,18,2022-10-24,SB04
LN01511,ENT0151,Kolhapur DCCB,109000.0,1650,60,2023-01-30,
LN01521,ENT0152,Nizamabad RRB,187000.0,1150,24,2022-10-19,SB04
LN01531,ENT0153,Anand DCCB,264000.0,1250,36,2022-06-25,
LN01541,ENT0154,Kolhapur DCCB,241000.0,950,12,2023-01-21,
LN01551,ENT0155,Bhilwara SFB,41000.0,1400,60,2022-11-30,SB01
LN01552,ENT0155,Odisha Gramya Bank,38000.0,1650,36,2024-11-02,SB01
LN01571,ENT0157,Nizamabad RRB,900000.0,950,24,2022-11-08,SB04
LN01591,ENT0159,Nizamabad RRB,218000.0,1400,48,2022-03-27,
LN01601,ENT0160,Sanchay NBFC,285000.0,1250,60,2022-12-23,SB04
LN01611,ENT0161,Assam Gramin VB,291000.0,1150,60,2023-05-25,SB04
LN01621,ENT0162,Anand DCCB,90000.0,1250,60,2023-01-25,SB01
LN01631,ENT0163,Odisha Gramya Bank,15000.0,2100,60,2023-03-24,
LN01651,ENT0165,Sanchay NBFC,253000.0,1050,18,2022-04-01,
LN01661,ENT0166,Anand DCCB,169000.0,1250,36,2022-03-29,
LN01681,ENT0168,Odisha Gramya Bank,44000.0,1650,60,2022-05-13,SB01
LN01691,ENT0169,Odisha Gramya Bank,664000.0,1650,48,2023-02-09,SB04
LN01701,ENT0170,Nizamabad RRB,360000.0,1150,48,2022-10-11,
LN01702,ENT0170,Anand DCCB,294000.0,1250,36,2024-05-07,
LN01711,ENT0171,Bhilwara SFB,226000.0,1250,36,2023-02-09,
LN01721,ENT0172,Bhilwara SFB,49000.0,1400,18,2022-03-31,
LN01722,ENT0172,Bharat MFI,16000.0,1050,30,2025-10-08,
LN01741,ENT0174,Odisha Gramya Bank,226000.0,1650,24,2022-04-10,
LN01742,ENT0174,Bhilwara SFB,273000.0,950,12,2024-09-26,
LN01751,ENT0175,Anand DCCB,900000.0,1650,18,2022-12-28,SB04
LN01761,ENT0176,Assam Gramin VB,196000.0,1250,36,2022-11-30,
LN01771,ENT0177,Odisha Gramya Bank,192000.0,950,30,2022-10-09,
LN01781,ENT0178,Assam Gramin VB,256000.0,1050,18,2022-08-17,
LN01791,ENT0179,Assam Gramin VB,53000.0,1250,24,2023-06-26,SB04
LN01801,ENT0180,Kolhapur DCCB,157000.0,1400,12,2023-01-13,
LN01811,ENT0181,Odisha Gramya Bank,28000.0,1400,60,2022-05-30,
LN01821,ENT0182,Odisha Gramya Bank,54000.0,1150,36,2022-03-21,SB01
LN01831,ENT0183,Sanchay NBFC,188000.0,1400,60,2023-03-11,
LN01841,ENT0184,Bharat MFI,218000.0,1250,12,2023-06-21,SB01
LN01851,ENT0185,Odisha Gramya Bank,220000.0,1650,48,2023-04-20,
LN01861,ENT0186,Anand DCCB,63000.0,1050,12,2023-02-23,SB01
LN01881,ENT0188,Anand DCCB,48000.0,1050,36,2023-01-20,
LN01891,ENT0189,Kolhapur DCCB,81000.0,1650,18,2023-07-11,SB01
LN01901,ENT0190,Kolhapur DCCB,144000.0,950,24,2022-08-11,SB01
LN01911,ENT0191,Bhilwara SFB,900000.0,1150,60,2023-06-21,
LN01921,ENT0192,Nizamabad RRB,134000.0,1650,12,2023-03-06,SB01
LN01931,ENT0193,Bharat MFI,101000.0,1050,24,2022-05-29,SB04
LN01941,ENT0194,Anand DCCB,42000.0,950,18,2023-01-10,
LN01951,ENT0195,Kolhapur DCCB,461000.0,1400,12,2022-08-02,
LN01961,ENT0196,Sanchay NBFC,31000.0,1400,18,2022-09-27,
LN01971,ENT0197,Assam Gramin VB,477000.0,1050,12,2022-05-05,
LN01981,ENT0198,Bharat MFI,101000.0,1050,30,2023-05-31,SB01
LN02001,ENT0200,Nizamabad RRB,74000.0,1250,18,2022-12-14,
LN02021,ENT0202,Sanchay NBFC,174000.0,950,18,2023-07-13,
LN02031,ENT0203,Bhilwara SFB,295000.0,950,36,2023-03-04,
LN02041,ENT0204,Bhilwara SFB,366000.0,950,60,2022-05-02,
LN02051,ENT0205,Assam Gramin VB,300000.0,1650,60,2022-05-12,SB01
LN02061,ENT0206,Assam Gramin VB,54000.0,1150,24,2022-04-14,SB01
LN02071,ENT0207,Sanchay NBFC,101000.0,950,30,2023-02-16,SB04
LN02081,ENT0208,Anand DCCB,213000.0,1400,18,2023-04-14,
LN02082,ENT0208,Bharat MFI,216000.0,1250,12,2024-09-16,
LN02091,ENT0209,Bharat MFI,210000.0,2100,30,2022-05-05,
LN02101,ENT0210,Bharat MFI,78000.0,950,12,2023-02-24,
LN02111,ENT0211,Anand DCCB,70000.0,1250,12,2022-04-12,
LN02121,ENT0212,Kolhapur DCCB,397000.0,950,60,2023-04-29,SB04
LN02131,ENT0213,Bhilwara SFB,94000.0,2100,60,2022-09-22,
LN02141,ENT0214,Kolhapur DCCB,28000.0,1050,60,2023-03-20,
LN02151,ENT0215,Bharat MFI,127000.0,950,48,2022-06-11,
LN02161,ENT0216,Anand DCCB,510000.0,1650,48,2023-07-04,SB04
LN02162,ENT0216,Odisha Gramya Bank,252000.0,1650,60,2025-05-13,SB04
LN02171,ENT0217,Bhilwara SFB,349000.0,1050,48,2022-05-10,SB04
LN02181,ENT0218,Odisha Gramya Bank,210000.0,1150,24,2023-05-23,SB04
LN02191,ENT0219,Kolhapur DCCB,262000.0,1250,30,2023-05-26,SB04
LN02211,ENT0221,Bhilwara SFB,900000.0,950,24,2022-11-10,SB04
LN02221,ENT0222,Bhilwara SFB,195000.0,1400,36,2022-07-11,
LN02231,ENT0223,Bharat MFI,63000.0,1650,24,2022-07-25,SB01
LN02251,ENT0225,Odisha Gramya Bank,460000.0,1650,36,2022-04-03,
LN02271,ENT0227,Odisha Gramya Bank,463000.0,1150,18,2022-10-14,
LN02281,ENT0228,Bharat MFI,230000.0,1050,30,2023-03-31,
LN02291,ENT0229,Sanchay NBFC,154000.0,1050,48,2022-12-22,SB04
LN02301,ENT0230,Bhilwara SFB,398000.0,1250,18,2022-08-13,
LN02311,ENT0231,Sanchay NBFC,214000.0,1150,24,2022-05-04,
LN02321,ENT0232,Nizamabad RRB,137000.0,2100,12,2022-06-18,
LN02322,ENT0232,Odisha Gramya Bank,311000.0,1650,30,2024-11-19,
LN02331,ENT0233,Assam Gramin VB,373000.0,1650,18,2023-05-05,
LN02341,ENT0234,Kolhapur DCCB,286000.0,1250,12,2023-01-15,
LN02361,ENT0236,Assam Gramin VB,58000.0,1050,12,2023-06-02,SB04
LN02371,ENT0237,Nizamabad RRB,569000.0,2100,12,2022-08-11,
LN02381,ENT0238,Assam Gramin VB,82000.0,1650,60,2022-05-10,
LN02382,ENT0238,Nizamabad RRB,123000.0,1650,18,2026-01-02,
LN02391,ENT0239,Anand DCCB,134000.0,1050,30,2022-10-16,SB01
LN02401,ENT0240,Assam Gramin VB,159000.0,2100,12,2022-06-29,
LN02402,ENT0240,Anand DCCB,688000.0,1050,18,2025-10-30,
LN02421,ENT0242,Assam Gramin VB,533000.0,1050,60,2022-10-13,SB04
LN02431,ENT0243,Bhilwara SFB,269000.0,2100,12,2022-07-03,SB01
LN02441,ENT0244,Bhilwara SFB,306000.0,1650,12,2023-07-31,
LN02471,ENT0247,Nizamabad RRB,36000.0,1650,12,2022-09-10,
LN02491,ENT0249,Nizamabad RRB,157000.0,1250,24,2022-12-02,
LN02511,ENT0251,Assam Gramin VB,568000.0,1400,60,2022-08-20,SB04
