event_code,enterprise_id
EV06,ENT0220
EV06,ENT0221
EV06,ENT0224
EV06,ENT0225
EV06,ENT0228
EV06,ENT0229
EV06,ENT0230
EV06,ENT0234
EV06,ENT0236
EV06,ENT0238
EV06,ENT0240
EV06,ENT0242
EV06,ENT0246
EV06,ENT0248
EV06,ENT0250
EV06,ENT0251
EV07,ENT0008
EV07,ENT0016
EV07,ENT0026
EV07,ENT0027
EV07,ENT0032
EV07,ENT0033
EV07,ENT0034
EV07,ENT0043
EV07,ENT0050
EV07,ENT0063
EV07,ENT0068
EV07,ENT0072
EV07,ENT0075
EV07,ENT0085
EV07,ENT0101
EV07,ENT0102
EV07,ENT0103
EV07,ENT0117
EV07,ENT0135
EV07,ENT0136
EV07,ENT0140
EV07,ENT0141
EV07,ENT0143
EV07,ENT0145
EV07,ENT0146
EV07,ENT0172
EV07,ENT0173
EV07,ENT0181
EV07,ENT0191
EV07,ENT0200
EV07,ENT0201
EV07,ENT0203
EV07,ENT0204
EV07,ENT0207
EV07,ENT0211
EV07,ENT0220
EV07,ENT0223
EV07,ENT0224
EV07,ENT0237
EV07,ENT0241
EV07,ENT0245
EV07,ENT0247
EV08,ENT0001
EV08,ENT0006
EV08,ENT0019
EV08,ENT0022
EV08,ENT0024
EV08,ENT0028
EV08,ENT0030
EV08,ENT0031
EV08,ENT0041
EV08,ENT0044
EV08,ENT0045
EV08,ENT0066
EV08,ENT0080
EV08,ENT0086
EV08,ENT0087
EV08,ENT0089
EV08,ENT0104
EV08,ENT0107
EV08,ENT0108
EV08,ENT0113
EV08,ENT0121
EV08,ENT0124
EV08,ENT0125
EV08,ENT0130
EV08,ENT0131
EV08,ENT0137
EV08,ENT0144
EV08,ENT0155
EV08,ENT0174
EV08,ENT0177
EV08,ENT0178
EV08,ENT0182
EV08,ENT0184
EV08,ENT0186
EV08,ENT0195
EV08,ENT0198
EV08,ENT0199
EV08,ENT0202
EV08,ENT0205
EV08,ENT0206
EV08,ENT0231
EV08,ENT0232
EV08,ENT0235
EV08,ENT0243
EV08,ENT0244
EV08,ENT0252
EV09,ENT0017
EV09,ENT0019
EV09,ENT0024
EV09,ENT0033
EV09,ENT0045
EV09,ENT0064
EV09,ENT0075
EV09,ENT0085
EV09,ENT0104
EV09,ENT0125
EV09,ENT0130
EV09,ENT0131
EV09,ENT0178
EV09,ENT0195
EV09,ENT0202
EV09,ENT0203
EV09,ENT0227
EV09,ENT0231
EV09,ENT0232
EV09,ENT0233
EV09,ENT0237
EV09,ENT0241
EV09,ENT0244
EV09,ENT0252
EV10,ENT0001
EV10,ENT0022
EV10,ENT0030
EV10,ENT0031
EV10,ENT0038
EV10,ENT0042
EV10,ENT0054
EV10,ENT0066
EV10,ENT0081
EV10,ENT0082
EV10,ENT0086
EV10,ENT0087
EV10,ENT0091
EV10,ENT0095
EV10,ENT0107
EV10,ENT0115
EV10,ENT0121
EV10,ENT0124
EV10,ENT0144
EV10,ENT0162
EV10,ENT0168
EV10,ENT0184
EV10,ENT0186
EV10,ENT0189
EV10,ENT0190
EV10,ENT0192
EV10,ENT0198
EV10,ENT0199
EV10,ENT0205
EV10,ENT0206
EV10,ENT0239
EV10,ENT0243
