outcome_id,task_id,enterprise_id,visited_on,outcome,intervention,officer_note_lang,becomes_training_label
OC00033,TK00042,ENT0006,2026-06-13,false_positive,no_action,te,True
OC00034,TK00043,ENT0006,2026-08-16,stress_confirmed,bridge_loan_sanctioned,te,True
OC00035,TK00044,ENT0007,2023-12-25,stress_confirmed,bridge_loan_sanctioned,te,True
OC00036,TK00048,ENT0007,2024-09-04,false_positive,no_action,te,True
OC00037,TK00049,ENT0007,2024-11-13,stress_confirmed,bridge_loan_sanctioned,te,True
OC00038,TK00050,ENT0007,2025-05-14,stress_confirmed,advice_only,te,True
OC00039,TK00051,ENT0007,2025-07-19,false_positive,no_action,te,True
OC00040,TK00053,ENT0008,2025-07-15,false_positive,no_action,or,True
OC00041,TK00054,ENT0009,2023-12-12,stress_confirmed,advice_only,mr,True
OC00042,TK00055,ENT0010,2024-09-08,stress_confirmed,advice_only,hi,True
OC00043,TK00056,ENT0011,2023-12-11,stress_confirmed,bridge_loan_sanctioned,hi,True
OC00044,TK00057,ENT0011,2024-02-08,stress_confirmed,advice_only,hi,True
OC00045,TK00058,ENT0011,2025-03-10,stress_confirmed,scheme_linkage,hi,True
OC00046,TK00059,ENT0012,2026-05-09,false_positive,no_action,mr,True
OC00047,TK00060,ENT0013,2023-12-20,false_positive,no_action,as,True
OC00048,TK00062,ENT0015,2024-03-12,stress_confirmed,no_action,as,True
OC00049,TK00063,ENT0015,2024-05-07,stress_confirmed,advice_only,as,True
OC00050,TK00064,ENT0016,2023-12-19,stress_confirmed,bridge_loan_sanctioned,or,True
OC00051,TK00065,ENT0016,2024-02-06,stress_confirmed,bridge_loan_sanctioned,or,True
OC00052,TK00066,ENT0016,2024-04-21,stress_confirmed,bridge_loan_sanctioned,or,True
OC00053,TK00067,ENT0016,2024-07-08,stress_confirmed,bridge_loan_sanctioned,or,True
OC00054,TK00068,ENT0016,2024-09-16,false_positive,no_action,or,True
OC00055,TK00071,ENT0017,2024-06-07,stress_confirmed,scheme_linkage,as,True
OC00056,TK00072,ENT0017,2026-06-17,false_positive,no_action,as,True
OC00057,TK00073,ENT0018,2025-08-17,stress_confirmed,advice_only,as,True
OC00058,TK00074,ENT0019,2025-05-06,false_positive,no_action,te,True
OC00059,TK00075,ENT0019,2025-08-21,false_positive,no_action,te,True
OC00060,TK00076,ENT0019,2026-06-10,stress_confirmed,bridge_loan_sanctioned,te,True
OC00061,TK00077,ENT0020,2023-12-24,false_positive,no_action,as,True
OC00062,TK00078,ENT0020,2024-02-16,stress_confirmed,no_action,as,True
OC00063,TK00079,ENT0020,2026-05-09,stress_confirmed,advice_only,as,True
OC00064,TK00081,ENT0022,2024-06-17,stress_confirmed,bridge_loan_sanctioned,gu,True
OC00065,TK00083,ENT0022,2025-07-04,stress_confirmed,advice_only,gu,True
OC00066,TK00084,ENT0022,2026-04-09,stress_confirmed,emi_rescheduled,gu,True
OC00067,TK00085,ENT0022,2026-06-11,stress_confirmed,emi_rescheduled,gu,True
OC00068,TK00087,ENT0023,2025-09-20,false_positive,no_action,mr,True
OC00069,TK00088,ENT0024,2025-05-24,stress_confirmed,bridge_loan_sanctioned,te,True
OC00070,TK00090,ENT0026,2023-12-17,false_positive,no_action,or,True
OC00071,TK00091,ENT0026,2026-05-22,stress_confirmed,bridge_loan_sanctioned,or,True
OC00072,TK00092,ENT0027,2025-07-08,stress_confirmed,bridge_loan_sanctioned,or,True
OC00073,TK00095,ENT0028,2024-07-11,false_positive,no_action,hi,True
OC00074,TK00096,ENT0028,2025-04-22,stress_confirmed,advice_only,hi,True
OC00075,TK00098,ENT0028,2025-08-19,stress_confirmed,emi_rescheduled,hi,True
OC00076,TK00099,ENT0028,2026-04-17,stress_confirmed,bridge_loan_sanctioned,hi,True
OC00077,TK00101,ENT0028,2026-08-17,false_positive,no_action,hi,True
OC00078,TK00102,ENT0029,2026-07-20,stress_confirmed,advice_only,mr,True
OC00079,TK00103,ENT0030,2024-04-17,false_positive,no_action,gu,True
OC00080,TK00105,ENT0030,2024-08-06,false_positive,no_action,gu,True
OC00081,TK00106,ENT0030,2026-05-20,false_positive,no_action,gu,True
OC00082,TK00107,ENT0031,2024-04-14,false_positive,no_action,gu,True
OC00083,TK00108,ENT0031,2024-06-05,false_positive,no_action,gu,True
OC00084,TK00109,ENT0031,2025-04-16,stress_confirmed,bridge_loan_sanctioned,gu,True
OC00085,TK00110,ENT0031,2025-06-15,stress_confirmed,scheme_linkage,gu,True
OC00086,TK00111,ENT0031,2025-08-18,false_positive,no_action,gu,True
OC00087,TK00113,ENT0031,2025-12-10,stress_confirmed,bridge_loan_sanctioned,gu,True
OC00088,TK00114,ENT0031,2026-03-18,stress_confirmed,advice_only,gu,True
OC00089,TK00115,ENT0031,2026-05-09,stress_confirmed,emi_rescheduled,gu,True
OC00090,TK00117,ENT0032,2025-09-24,stress_confirmed,advice_only,or,True
OC00091,TK00120,ENT0033,2025-07-20,stress_confirmed,no_action,or,True
OC00092,TK00121,ENT0033,2025-09-06,stress_confirmed,advice_only,or,True
OC00093,TK00122,ENT0033,2025-11-11,false_positive,no_action,or,True
OC00094,TK00123,ENT0033,2026-05-22,false_positive,no_action,or,True
OC00095,TK00124,ENT0033,2026-07-12,false_positive,no_action,or,True
OC00096,TK00125,ENT0034,2023-12-19,stress_confirmed,bridge_loan_sanctioned,or,True
OC00097,TK00128,ENT0034,2024-06-04,stress_confirmed,emi_rescheduled,or,True
OC00098,TK00129,ENT0034,2024-08-12,stress_confirmed,bridge_loan_sanctioned,or,True
OC00099,TK00130,ENT0034,2024-11-17,stress_confirmed,no_action,or,True
OC00100,TK00131,ENT0034,2025-04-10,stress_confirmed,emi_rescheduled,or,True
OC00101,TK00132,ENT0034,2025-06-14,false_positive,no_action,or,True
OC00102,TK00133,ENT0035,2023-12-06,stress_confirmed,advice_only,mr,True
OC00103,TK00134,ENT0035,2024-02-09,stress_confirmed,emi_rescheduled,mr,True
OC00104,TK00135,ENT0035,2024-07-18,false_positive,no_action,mr,True
OC00105,TK00137,ENT0035,2024-11-21,false_positive,no_action,mr,True
OC00106,TK00138,ENT0035,2025-01-16,stress_confirmed,advice_only,mr,True
OC00107,TK00139,ENT0035,2026-05-07,false_positive,no_action,mr,True
OC00108,TK00140,ENT0036,2024-02-15,stress_confirmed,scheme_linkage,as,True
OC00109,TK00141,ENT0036,2024-07-07,false_positive,no_action,as,True
OC00110,TK00143,ENT0036,2025-07-19,stress_confirmed,advice_only,as,True
OC00111,TK00144,ENT0036,2025-10-13,stress_confirmed,advice_only,as,True
OC00112,TK00147,ENT0037,2024-08-13,false_positive,no_action,hi,True
OC00113,TK00148,ENT0037,2024-10-23,false_positive,no_action,hi,True
OC00114,TK00150,ENT0037,2025-05-07,false_positive,no_action,hi,True
OC00115,TK00151,ENT0037,2026-04-15,false_positive,no_action,hi,True
OC00116,TK00153,ENT0038,2024-05-13,false_positive,no_action,mr,True
OC00117,TK00154,ENT0038,2024-07-21,false_positive,no_action,mr,True
OC00118,TK00155,ENT0038,2025-04-15,stress_confirmed,advice_only,mr,True
OC00119,TK00156,ENT0038,2025-06-07,stress_confirmed,emi_rescheduled,mr,True
OC00120,TK00157,ENT0038,2026-05-04,false_positive,no_action,mr,True
OC00121,TK00158,ENT0038,2026-07-17,false_positive,no_action,mr,True
OC00122,TK00159,ENT0039,2023-12-09,stress_confirmed,bridge_loan_sanctioned,mr,True
OC00123,TK00160,ENT0039,2024-02-14,false_positive,no_action,mr,True
OC00124,TK00161,ENT0039,2024-07-20,stress_confirmed,scheme_linkage,mr,True
OC00125,TK00163,ENT0039,2024-11-19,stress_confirmed,advice_only,mr,True
OC00126,TK00164,ENT0039,2025-09-23,stress_confirmed,bridge_loan_sanctioned,mr,True
OC00127,TK00165,ENT0040,2023-12-22,stress_confirmed,bridge_loan_sanctioned,as,True
OC00128,TK00169,ENT0041,2025-09-17,false_positive,no_action,hi,True
OC00129,TK00170,ENT0041,2026-07-19,stress_confirmed,advice_only,hi,True
OC00130,TK00171,ENT0042,2024-06-03,false_positive,no_action,mr,True
OC00131,TK00173,ENT0045,2025-09-09,stress_confirmed,scheme_linkage,te,True
OC00132,TK00174,ENT0045,2026-07-07,stress_confirmed,bridge_loan_sanctioned,te,True
OC00133,TK00177,ENT0048,2024-02-05,stress_confirmed,emi_rescheduled,mr,True
OC00134,TK00178,ENT0048,2024-08-16,stress_confirmed,no_action,mr,True
OC00135,TK00179,ENT0048,2026-05-12,stress_confirmed,no_action,mr,True
OC00136,TK00180,ENT0049,2023-12-12,stress_confirmed,scheme_linkage,as,True
OC00137,TK00181,ENT0049,2024-09-25,false_positive,no_action,as,True
OC00138,TK00182,ENT0049,2024-12-04,false_positive,no_action,as,True
OC00139,TK00183,ENT0050,2023-12-23,false_positive,no_action,or,True
OC00140,TK00188,ENT0051,2026-05-19,false_positive,no_action,hi,True
OC00141,TK00190,ENT0054,2024-03-06,stress_confirmed,no_action,mr,True
OC00142,TK00191,ENT0054,2024-05-07,stress_confirmed,advice_only,mr,True
OC00143,TK00192,ENT0054,2024-07-20,false_positive,no_action,mr,True
OC00144,TK00193,ENT0054,2026-05-12,false_positive,no_action,mr,True
OC00145,TK00194,ENT0054,2026-07-07,false_positive,no_action,mr,True
OC00146,TK00195,ENT0055,2023-12-10,stress_confirmed,advice_only,as,True
OC00147,TK00196,ENT0055,2024-02-19,stress_confirmed,no_action,as,True
OC00148,TK00197,ENT0056,2024-09-08,stress_confirmed,advice_only,gu,True
OC00149,TK00198,ENT0056,2025-08-17,false_positive,no_action,gu,True
OC00150,TK00200,ENT0057,2025-05-11,stress_confirmed,advice_only,te,True
OC00151,TK00201,ENT0058,2026-05-06,stress_confirmed,emi_rescheduled,gu,True
OC00152,TK00202,ENT0059,2025-05-12,stress_confirmed,scheme_linkage,te,True
OC00153,TK00203,ENT0060,2024-07-23,stress_confirmed,emi_rescheduled,mr,True
OC00154,TK00204,ENT0060,2026-07-20,false_positive,no_action,mr,True
OC00155,TK00205,ENT0061,2024-07-20,stress_confirmed,scheme_linkage,mr,True
OC00156,TK00206,ENT0061,2025-11-05,false_positive,no_action,mr,True
OC00157,TK00208,ENT0062,2026-05-07,stress_confirmed,scheme_linkage,as,True
OC00158,TK00209,ENT0062,2026-07-06,stress_confirmed,emi_rescheduled,as,True
OC00159,TK00210,ENT0064,2025-05-14,false_positive,no_action,as,True
OC00160,TK00212,ENT0065,2023-12-22,stress_confirmed,scheme_linkage,mr,True
OC00161,TK00213,ENT0065,2024-03-18,false_positive,no_action,mr,True
OC00162,TK00214,ENT0065,2024-05-07,stress_confirmed,no_action,mr,True
OC00163,TK00216,ENT0065,2026-05-13,stress_confirmed,advice_only,mr,True
OC00164,TK00217,ENT0066,2024-03-24,false_positive,no_action,gu,True
OC00165,TK00219,ENT0066,2024-07-17,stress_confirmed,emi_rescheduled,gu,True
OC00166,TK00220,ENT0066,2025-04-23,stress_confirmed,no_action,gu,True
OC00167,TK00221,ENT0066,2025-06-24,false_positive,no_action,gu,True
OC00168,TK00222,ENT0066,2026-03-21,stress_confirmed,emi_rescheduled,gu,True
OC00169,TK00223,ENT0066,2026-05-06,stress_confirmed,advice_only,gu,True
OC00170,TK00226,ENT0067,2024-02-19,stress_confirmed,bridge_loan_sanctioned,hi,True
OC00171,TK00227,ENT0067,2024-04-09,stress_confirmed,advice_only,hi,True
OC00172,TK00228,ENT0067,2024-06-10,stress_confirmed,advice_only,hi,True
OC00173,TK00229,ENT0067,2024-08-11,false_positive,no_action,hi,True
OC00174,TK00230,ENT0067,2024-10-10,false_positive,no_action,hi,True
OC00175,TK00231,ENT0067,2024-12-16,stress_confirmed,advice_only,hi,True
OC00176,TK00233,ENT0067,2025-05-20,stress_confirmed,bridge_loan_sanctioned,hi,True
OC00177,TK00235,ENT0067,2025-09-11,false_positive,no_action,hi,True
OC00178,TK00237,ENT0067,2026-01-16,false_positive,no_action,hi,True
OC00179,TK00238,ENT0067,2026-05-06,false_positive,no_action,hi,True
OC00180,TK00239,ENT0068,2025-08-15,stress_confirmed,bridge_loan_sanctioned,or,True
OC00181,TK00241,ENT0069,2025-03-24,false_positive,no_action,hi,True
OC00182,TK00242,ENT0071,2025-07-13,false_positive,no_action,hi,True
OC00183,TK00243,ENT0071,2025-09-05,false_positive,no_action,hi,True
OC00184,TK00244,ENT0072,2023-12-19,false_positive,no_action,or,True
OC00185,TK00245,ENT0073,2023-12-15,stress_confirmed,advice_only,te,True
OC00186,TK00246,ENT0073,2024-05-17,stress_confirmed,advice_only,te,True
OC00187,TK00247,ENT0073,2025-05-15,false_positive,no_action,te,True
OC00188,TK00248,ENT0074,2023-12-23,false_positive,no_action,te,True
OC00189,TK00249,ENT0074,2025-05-12,stress_confirmed,bridge_loan_sanctioned,te,True
OC00190,TK00250,ENT0074,2026-05-14,false_positive,no_action,te,True
OC00191,TK00251,ENT0075,2025-05-13,false_positive,no_action,or,True
OC00192,TK00252,ENT0075,2025-07-07,stress_confirmed,advice_only,or,True
OC00193,TK00253,ENT0075,2025-09-19,false_positive,no_action,or,True
OC00194,TK00255,ENT0075,2026-05-03,false_positive,no_action,or,True
OC00195,TK00256,ENT0075,2026-07-19,stress_confirmed,no_action,or,True
OC00196,TK00258,ENT0076,2024-02-19,stress_confirmed,advice_only,as,True
OC00197,TK00259,ENT0076,2024-04-05,stress_confirmed,advice_only,as,True
OC00198,TK00260,ENT0076,2024-06-18,stress_confirmed,advice_only,as,True
OC00199,TK00261,ENT0076,2024-08-08,false_positive,no_action,as,True
OC00200,TK00262,ENT0076,2024-12-10,stress_confirmed,emi_rescheduled,as,True
OC00201,TK00263,ENT0076,2026-01-23,false_positive,no_action,as,True
OC00202,TK00264,ENT0077,2023-12-09,stress_confirmed,advice_only,as,True
OC00203,TK00266,ENT0077,2025-05-06,stress_confirmed,scheme_linkage,as,True
OC00204,TK00267,ENT0079,2023-12-22,stress_confirmed,bridge_loan_sanctioned,hi,True
OC00205,TK00268,ENT0079,2024-02-12,stress_confirmed,advice_only,hi,True
OC00206,TK00269,ENT0080,2024-04-15,false_positive,no_action,te,True
OC00207,TK00270,ENT0080,2024-06-24,false_positive,no_action,te,True
OC00208,TK00271,ENT0080,2024-08-07,stress_confirmed,bridge_loan_sanctioned,te,True
OC00209,TK00272,ENT0080,2025-03-16,stress_confirmed,advice_only,te,True
OC00210,TK00273,ENT0080,2025-05-05,false_positive,no_action,te,True
OC00211,TK00274,ENT0080,2025-07-14,false_positive,no_action,te,True
OC00212,TK00275,ENT0080,2025-10-13,false_positive,no_action,te,True
OC00213,TK00276,ENT0080,2026-01-16,false_positive,no_action,te,True
OC00214,TK00277,ENT0080,2026-04-05,stress_confirmed,no_action,te,True
OC00215,TK00278,ENT0080,2026-06-18,stress_confirmed,advice_only,te,True
OC00216,TK00279,ENT0081,2024-05-06,stress_confirmed,no_action,mr,True
OC00217,TK00281,ENT0081,2024-09-06,stress_confirmed,no_action,mr,True
OC00218,TK00283,ENT0081,2026-07-25,stress_confirmed,bridge_loan_sanctioned,mr,True
OC00219,TK00284,ENT0082,2024-06-13,stress_confirmed,advice_only,mr,True
OC00220,TK00286,ENT0083,2023-12-22,stress_confirmed,scheme_linkage,gu,True
OC00221,TK00287,ENT0083,2024-02-20,false_positive,no_action,gu,True
OC00222,TK00288,ENT0083,2024-04-20,false_positive,no_action,gu,True
OC00223,TK00289,ENT0083,2024-06-12,false_positive,no_action,gu,True
OC00224,TK00291,ENT0084,2024-01-07,stress_confirmed,emi_rescheduled,mr,True
OC00225,TK00292,ENT0084,2026-05-23,stress_confirmed,bridge_loan_sanctioned,mr,True
OC00226,TK00293,ENT0085,2025-03-12,stress_confirmed,no_action,or,True
OC00227,TK00294,ENT0085,2025-05-07,stress_confirmed,emi_rescheduled,or,True
OC00228,TK00295,ENT0085,2025-07-18,false_positive,no_action,or,True
OC00229,TK00296,ENT0085,2025-09-17,false_positive,no_action,or,True
OC00230,TK00297,ENT0085,2025-12-22,stress_confirmed,advice_only,or,True
OC00231,TK00298,ENT0085,2026-03-07,stress_confirmed,emi_rescheduled,or,True
OC00232,TK00299,ENT0085,2026-05-18,stress_confirmed,bridge_loan_sanctioned,or,True
OC00233,TK00300,ENT0085,2026-07-09,false_positive,no_action,or,True
OC00234,TK00301,ENT0086,2024-04-20,stress_confirmed,advice_only,gu,True
OC00235,TK00302,ENT0086,2024-06-22,stress_confirmed,bridge_loan_sanctioned,gu,True
OC00236,TK00304,ENT0086,2025-07-12,false_positive,no_action,gu,True
OC00237,TK00307,ENT0087,2024-05-18,false_positive,no_action,gu,True
OC00238,TK00308,ENT0087,2024-07-13,stress_confirmed,bridge_loan_sanctioned,gu,True
OC00239,TK00309,ENT0087,2025-06-06,false_positive,no_action,gu,True
OC00240,TK00310,ENT0087,2026-05-07,stress_confirmed,no_action,gu,True
OC00241,TK00311,ENT0087,2026-07-04,false_positive,no_action,gu,True
OC00242,TK00312,ENT0089,2024-03-13,stress_confirmed,advice_only,hi,True
OC00243,TK00313,ENT0089,2024-05-08,stress_confirmed,bridge_loan_sanctioned,hi,True
OC00244,TK00314,ENT0089,2024-07-20,stress_confirmed,advice_only,hi,True
OC00245,TK00315,ENT0089,2024-09-08,stress_confirmed,bridge_loan_sanctioned,hi,True
OC00246,TK00316,ENT0089,2025-03-08,stress_confirmed,scheme_linkage,hi,True
OC00247,TK00317,ENT0089,2025-05-15,false_positive,no_action,hi,True
OC00248,TK00321,ENT0089,2026-06-24,stress_confirmed,bridge_loan_sanctioned,hi,True
OC00249,TK00322,ENT0089,2026-08-12,false_positive,no_action,hi,True
OC00250,TK00324,ENT0090,2026-05-10,stress_confirmed,scheme_linkage,mr,True
OC00251,TK00326,ENT0091,2024-05-17,stress_confirmed,advice_only,mr,True
OC00252,TK00327,ENT0091,2024-07-07,false_positive,no_action,mr,True
OC00253,TK00328,ENT0091,2025-04-15,stress_confirmed,advice_only,mr,True
OC00254,TK00329,ENT0091,2025-06-16,false_positive,no_action,mr,True
OC00255,TK00332,ENT0091,2026-06-10,stress_confirmed,emi_rescheduled,mr,True
OC00256,TK00333,ENT0091,2026-08-22,false_positive,no_action,mr,True
OC00257,TK00334,ENT0093,2025-10-13,false_positive,no_action,as,True
OC00258,TK00335,ENT0094,2023-12-19,false_positive,no_action,as,True
OC00259,TK00336,ENT0094,2024-02-05,false_positive,no_action,as,True
OC00260,TK00340,ENT0094,2026-05-23,false_positive,no_action,as,True
OC00261,TK00341,ENT0095,2024-06-19,stress_confirmed,advice_only,mr,True
OC00262,TK00342,ENT0095,2025-05-06,stress_confirmed,no_action,mr,True
OC00263,TK00343,ENT0095,2026-05-13,false_positive,no_action,mr,True
OC00264,TK00344,ENT0095,2026-07-08,stress_confirmed,bridge_loan_sanctioned,mr,True
OC00265,TK00345,ENT0096,2025-07-11,false_positive,no_action,gu,True
OC00266,TK00346,ENT0098,2024-07-05,stress_confirmed,advice_only,mr,True
OC00267,TK00348,ENT0098,2025-10-20,false_positive,no_action,mr,True
OC00268,TK00349,ENT0098,2026-07-03,false_positive,no_action,mr,True
OC00269,TK00353,ENT0100,2023-12-18,stress_confirmed,bridge_loan_sanctioned,as,True
OC00270,TK00356,ENT0100,2024-06-13,false_positive,no_action,as,True
OC00271,TK00357,ENT0101,2023-12-06,false_positive,no_action,or,True
OC00272,TK00358,ENT0101,2025-03-20,stress_confirmed,advice_only,or,True
OC00273,TK00359,ENT0102,2025-08-22,false_positive,no_action,or,True
OC00274,TK00360,ENT0104,2024-01-12,stress_confirmed,scheme_linkage,te,True
OC00275,TK00361,ENT0104,2024-05-07,false_positive,no_action,te,True
OC00276,TK00363,ENT0104,2024-09-13,false_positive,no_action,te,True
OC00277,TK00364,ENT0104,2024-11-12,false_positive,no_action,te,True
OC00278,TK00365,ENT0104,2025-01-16,stress_confirmed,advice_only,te,True
OC00279,TK00366,ENT0104,2025-04-09,false_positive,no_action,te,True
OC00280,TK00367,ENT0104,2025-06-17,false_positive,no_action,te,True
OC00281,TK00369,ENT0104,2025-10-05,false_positive,no_action,te,True
OC00282,TK00370,ENT0104,2025-12-08,false_positive,no_action,te,True
OC00283,TK00371,ENT0104,2026-03-07,stress_confirmed,bridge_loan_sanctioned,te,True
OC00284,TK00372,ENT0104,2026-05-20,stress_confirmed,advice_only,te,True
OC00285,TK00374,ENT0105,2023-12-20,stress_confirmed,advice_only,as,True
OC00286,TK00376,ENT0107,2024-03-22,stress_confirmed,advice_only,gu,True
OC00287,TK00378,ENT0107,2024-07-19,stress_confirmed,bridge_loan_sanctioned,gu,True
OC00288,TK00380,ENT0107,2025-02-10,stress_confirmed,bridge_loan_sanctioned,gu,True
OC00289,TK00381,ENT0107,2025-05-12,stress_confirmed,advice_only,gu,True
OC00290,TK00382,ENT0107,2025-07-20,false_positive,no_action,gu,True
OC00291,TK00383,ENT0107,2025-10-11,false_positive,no_action,gu,True
OC00292,TK00384,ENT0107,2026-03-10,stress_confirmed,advice_only,gu,True
OC00293,TK00385,ENT0107,2026-05-22,stress_confirmed,advice_only,gu,True
OC00294,TK00387,ENT0108,2025-05-08,false_positive,no_action,te,True
OC00295,TK00388,ENT0108,2025-08-09,false_positive,no_action,te,True
OC00296,TK00389,ENT0108,2026-05-04,stress_confirmed,advice_only,te,True
OC00297,TK00390,ENT0108,2026-07-05,stress_confirmed,advice_only,te,True
OC00298,TK00391,ENT0109,2023-12-08,stress_confirmed,advice_only,gu,True
OC00299,TK00392,ENT0109,2024-02-22,stress_confirmed,advice_only,gu,True
OC00300,TK00393,ENT0109,2024-04-22,false_positive,no_action,gu,True
OC00301,TK00394,ENT0109,2024-06-08,stress_confirmed,advice_only,gu,True
OC00302,TK00395,ENT0109,2026-05-14,false_positive,no_action,gu,True
OC00303,TK00398,ENT0111,2024-04-22,false_positive,no_action,as,True
OC00304,TK00399,ENT0111,2024-06-22,stress_confirmed,emi_rescheduled,as,True
OC00305,TK00400,ENT0111,2024-08-04,stress_confirmed,bridge_loan_sanctioned,as,True
OC00306,TK00401,ENT0111,2024-10-06,stress_confirmed,bridge_loan_sanctioned,as,True
OC00307,TK00403,ENT0111,2025-02-21,stress_confirmed,scheme_linkage,as,True
OC00308,TK00404,ENT0111,2025-05-20,false_positive,no_action,as,True
OC00309,TK00405,ENT0111,2025-08-04,false_positive,no_action,as,True
OC00310,TK00406,ENT0111,2025-10-12,false_positive,no_action,as,True
OC00311,TK00407,ENT0111,2025-12-18,false_positive,no_action,as,True
OC00312,TK00408,ENT0111,2026-03-06,stress_confirmed,advice_only,as,True
OC00313,TK00409,ENT0112,2024-07-25,stress_confirmed,advice_only,mr,True
OC00314,TK00410,ENT0112,2024-09-09,stress_confirmed,bridge_loan_sanctioned,mr,True
OC00315,TK00411,ENT0112,2025-07-18,false_positive,no_action,mr,True
OC00316,TK00412,ENT0112,2026-07-19,stress_confirmed,scheme_linkage,mr,True
OC00317,TK00413,ENT0113,2024-03-19,stress_confirmed,advice_only,gu,True
OC00318,TK00414,ENT0113,2024-05-12,stress_confirmed,no_action,gu,True
OC00319,TK00416,ENT0113,2024-09-13,stress_confirmed,advice_only,gu,True
OC00320,TK00417,ENT0113,2024-12-09,false_positive,no_action,gu,True
OC00321,TK00418,ENT0113,2025-05-09,stress_confirmed,emi_rescheduled,gu,True
OC00322,TK00419,ENT0113,2025-07-21,stress_confirmed,no_action,gu,True
OC00323,TK00420,ENT0113,2025-09-14,stress_confirmed,emi_rescheduled,gu,True
OC00324,TK00422,ENT0113,2026-07-22,false_positive,no_action,gu,True
OC00325,TK00423,ENT0114,2025-05-20,false_positive,no_action,te,True
OC00326,TK00426,ENT0115,2024-07-19,stress_confirmed,bridge_loan_sanctioned,mr,True
OC00327,TK00427,ENT0115,2025-04-11,false_positive,no_action,mr,True
OC00328,TK00428,ENT0115,2025-06-05,stress_confirmed,advice_only,mr,True
OC00329,TK00432,ENT0115,2026-07-17,false_positive,no_action,mr,True
OC00330,TK00434,ENT0117,2023-12-08,stress_confirmed,emi_rescheduled,or,True
OC00331,TK00435,ENT0117,2024-05-12,stress_confirmed,scheme_linkage,or,True
OC00332,TK00436,ENT0117,2026-05-20,false_positive,no_action,or,True
OC00333,TK00437,ENT0118,2026-06-12,false_positive,no_action,hi,True
OC00334,TK00439,ENT0119,2026-07-21,stress_confirmed,advice_only,mr,True
OC00335,TK00440,ENT0120,2024-03-18,false_positive,no_action,te,True
OC00336,TK00441,ENT0120,2026-03-11,stress_confirmed,bridge_loan_sanctioned,te,True
OC00337,TK00442,ENT0120,2026-05-18,false_positive,no_action,te,True
OC00338,TK00443,ENT0121,2024-04-10,stress_confirmed,advice_only,gu,True
OC00339,TK00447,ENT0122,2023-12-21,stress_confirmed,bridge_loan_sanctioned,hi,True
OC00340,TK00449,ENT0123,2023-12-21,stress_confirmed,no_action,te,True
OC00341,TK00450,ENT0123,2024-05-07,stress_confirmed,scheme_linkage,te,True
OC00342,TK00451,ENT0123,2025-05-03,false_positive,no_action,te,True
